"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","Y"
12,77,20,62,78,40,50,0,1,17,0,64,23,98,100,100,1
29,91,14,57,66,39,30,0,0,19,3,72,39,97,100,100,1
43,94,15,66,52,38,20,0,5,35,0,83,42,100,100,98,1
38,92,15,72,42,44,25,0,0,8,8,61,40,93,100,100,1
54,85,100,100,99,98,49,86,23,60,63,34,50,1,0,0,1
21,85,8,46,61,47,39,0,0,13,11,66,35,98,100,100,1
0,89,10,55,51,30,48,0,18,23,20,66,49,94,100,100,1
100,97,50,100,12,88,6,48,37,47,78,25,50,0,0,2,1
8,92,58,64,100,30,73,0,12,22,0,61,3,97,90,100,1
14,86,0,58,58,63,77,21,27,0,14,55,36,93,100,100,1
13,87,0,57,60,37,42,0,12,16,14,59,30,98,100,100,1
38,99,90,95,29,100,10,58,60,53,100,23,49,0,0,18,1
100,98,58,100,29,81,55,55,87,32,81,4,39,0,0,1,1
100,97,48,100,12,80,9,42,51,53,80,28,49,0,0,5,1
7,91,57,100,8,96,0,54,57,50,100,21,46,0,1,14,1
19,83,12,55,57,31,28,0,7,35,0,73,41,97,100,100,1
8,90,81,100,76,97,12,80,64,70,100,44,66,15,0,0,1
38,93,100,100,85,93,24,83,41,48,95,31,48,0,0,12,1
33,93,0,55,61,58,91,25,37,0,29,53,36,100,100,93,1
19,91,18,50,88,50,88,5,24,0,0,51,29,91,100,100,1
6,79,42,95,100,100,35,88,0,56,62,41,64,0,2,0,1
42,95,0,64,48,42,21,0,0,18,5,72,42,100,100,98,1
29,70,56,36,43,2,3,0,0,42,13,76,56,90,100,100,1
40,88,95,100,88,100,40,77,72,61,100,33,58,7,0,0,1
2,65,29,35,46,2,12,0,0,41,18,73,58,88,100,100,1
22,89,0,55,39,47,43,4,6,0,16,56,39,100,100,98,1
0,90,3,56,51,31,43,0,15,22,9,63,38,93,100,100,1
19,73,12,61,77,36,57,0,9,19,0,59,12,94,100,100,1
100,86,79,89,15,100,8,60,71,53,99,19,43,0,0,13,1
55,99,55,68,77,26,38,0,0,13,20,56,49,92,100,100,1
0,58,39,38,56,5,27,0,6,35,18,64,59,83,100,100,1
31,100,34,63,75,30,36,0,0,25,7,69,37,97,100,96,1
26,99,0,55,61,48,76,14,7,0,4,44,27,87,100,100,1
30,91,0,50,57,54,62,19,2,0,2,52,28,96,100,100,1
100,83,66,93,11,100,3,64,58,56,91,23,47,0,0,7,1
35,95,96,100,100,97,27,87,28,66,96,48,72,13,0,0,1
55,93,100,100,73,100,34,78,44,56,77,36,45,9,0,0,1
20,91,27,61,66,35,47,0,0,21,11,66,44,95,100,100,1
100,90,48,100,0,88,8,60,60,52,86,22,50,0,8,12,1
13,93,21,49,51,24,15,0,0,45,18,92,59,100,100,95,1
15,73,23,44,41,6,1,0,0,44,18,90,59,100,100,90,1
37,82,18,81,58,46,56,2,0,0,12,47,37,90,100,100,1
34,84,83,100,100,99,28,82,0,53,65,39,84,1,13,0,1
100,100,55,99,20,93,23,53,67,54,80,20,43,0,0,3,1
40,99,100,100,43,99,6,69,42,50,89,26,60,1,0,0,1
100,92,46,100,11,78,37,56,86,43,81,0,28,5,0,41,1
0,98,67,93,47,100,19,68,45,55,100,33,73,0,17,7,1
100,95,71,100,36,84,34,48,83,48,91,17,49,0,0,4,1
28,77,10,76,61,41,66,0,0,6,3,53,27,95,100,100,1
63,91,100,100,75,92,41,77,31,50,56,27,36,0,0,1,1
44,92,100,100,57,98,11,79,28,60,74,42,51,14,0,0,1
43,87,100,100,96,93,47,72,53,48,91,34,58,2,0,0,1
50,91,36,54,63,22,17,0,0,29,6,80,48,100,100,94,1
20,100,79,93,60,94,20,73,55,55,100,29,53,0,0,14,1
34,90,35,62,51,24,8,0,0,40,1,82,46,100,100,99,1
0,77,38,58,75,30,72,0,45,28,21,60,36,91,100,100,1
5,86,77,100,80,99,0,86,20,63,100,48,81,13,1,0,1
78,86,61,100,0,100,7,64,62,51,100,25,63,0,7,5,1
10,79,18,48,39,17,0,0,3,38,10,71,54,87,100,100,1
13,94,0,51,55,45,34,0,0,16,0,71,39,98,100,100,1
8,86,6,55,60,35,41,0,11,27,0,74,41,89,100,100,1
58,96,100,100,63,90,37,61,61,54,66,24,36,0,0,11,1
100,94,90,100,45,89,24,59,66,47,85,20,47,3,0,0,1
64,100,22,69,55,35,16,0,0,16,12,63,42,97,100,96,1
100,98,66,100,30,90,17,60,48,48,64,17,34,0,0,6,1
21,80,60,95,100,100,55,87,37,52,76,28,46,2,0,0,1
29,91,100,100,79,100,4,95,21,68,68,42,68,14,0,0,1
26,97,97,100,63,99,0,82,34,59,100,43,79,9,9,0,1
26,96,92,100,72,100,9,81,41,64,100,40,67,5,0,0,1
17,85,30,54,91,46,70,0,26,14,0,62,32,93,100,100,1
20,98,97,100,100,99,31,88,41,57,97,30,57,0,0,13,1
35,100,73,100,19,87,10,53,73,47,100,16,46,0,0,19,1
4,73,53,91,100,100,47,88,20,41,72,36,52,1,0,0,1
30,85,9,64,38,30,7,0,0,24,14,64,51,89,100,100,1
28,97,2,70,47,39,61,0,24,24,0,67,39,94,100,100,1
29,100,19,65,54,29,21,0,0,31,12,84,54,95,100,85,1
16,100,0,63,61,63,100,25,46,0,19,44,29,90,98,100,1
54,84,100,100,80,88,29,72,59,49,94,23,51,0,0,1,1
0,100,75,90,59,95,15,73,40,54,100,37,69,0,9,7,1
47,96,35,62,44,18,5,0,0,29,18,71,56,91,100,100,1
40,92,74,99,100,100,66,92,33,80,30,39,32,0,0,0,1
6,74,37,58,100,45,91,2,26,0,0,46,20,85,85,100,1
23,97,6,54,65,45,43,0,0,12,0,65,33,95,100,100,1
10,89,21,52,75,44,60,0,12,12,0,60,36,93,100,100,1
12,82,34,45,49,0,18,2,0,48,4,89,51,100,100,99,1
20,84,39,45,43,9,7,0,0,47,15,91,57,100,100,88,1
23,70,44,60,90,36,58,0,0,13,9,56,27,94,100,100,1
40,97,0,60,54,41,43,0,12,13,20,60,33,99,100,100,1
38,97,21,61,38,16,4,0,0,45,11,88,55,100,100,99,1
54,88,100,100,83,96,44,74,59,58,75,29,44,0,0,3,1
44,80,21,68,74,38,62,0,0,5,15,51,33,90,100,100,1
42,95,2,63,40,42,18,0,0,23,5,71,40,97,100,100,1
27,94,55,57,61,18,15,0,0,28,5,70,46,93,100,100,1
32,87,20,56,58,30,18,0,0,31,3,79,46,100,100,97,1
40,88,99,100,78,94,25,75,74,69,100,42,62,13,0,0,1
54,87,100,100,72,96,31,76,30,45,79,42,47,14,0,0,1
20,96,18,65,53,30,27,0,0,32,0,75,44,100,100,96,1
18,91,86,100,100,99,36,85,1,49,70,37,68,2,0,0,1
35,96,0,71,35,36,36,0,3,16,9,68,45,100,100,92,1
20,100,6,61,25,28,18,0,0,27,11,63,55,75,100,82,1
13,91,18,54,66,40,37,0,5,29,0,81,44,99,100,100,1
34,99,9,67,52,42,35,0,0,4,19,62,52,97,100,100,1
