"X1","X2","X3","X4","X5","X6","X7","X8","Y"
0.75,0.7,0.38,0.27,0.5,0,0.49,0.22,1
0.74,0.72,0.47,0.25,0.5,0,0.57,0.22,1
0.84,0.66,0.36,0.78,0.5,0,0.49,0.5,1
0.77,0.86,0.44,0.27,0.5,0,0.48,0.22,1
0.77,0.82,0.4,0.36,0.5,0,0.38,0.22,1
0.88,0.72,0.32,0.3,0.5,0,0.52,0.33,1
0.8,0.82,0.4,0.31,0.5,0,0.57,0.25,1
0.77,0.7,0.37,0.12,0.5,0,0.49,0.26,1
0.91,0.77,0.34,0.47,0.5,0,0.52,0.31,1
0.67,0.63,0.34,0.41,0.5,0,0.6,0.33,1
0.84,0.87,0.45,0.54,0.5,0,0.28,0.22,1
0.76,0.76,0.35,0.27,0.5,0,0.44,0.22,1
0.85,0.69,0.34,0.31,0.5,0,0.57,0.3,1
0.71,0.79,0.41,0.38,0.5,0,0.54,0.22,1
0.85,0.85,0.3,0.31,0.5,0,0.55,0.42,1
0.85,0.66,0.49,0.18,0.5,0,0.51,0.22,1
0.77,0.7,0.44,0.29,0.5,0,0.56,0.22,1
0.74,0.73,0.32,0.2,0.5,0,0.55,0.22,1
0.75,0.73,0.35,0.33,0.5,0,0.49,0.28,1
0.77,0.68,0.35,0.19,0.5,0,0.53,0.43,1
0.77,0.74,0.37,0.29,0.5,0,0.45,0.22,1
0.73,0.83,0.43,0.3,0.5,0,0.55,0.22,1
0.78,0.73,0.27,0.28,0.5,0,0.56,0.22,1
0.8,0.83,0.43,0.24,0.5,0,0.54,0.22,1
0.78,0.71,0.35,0.25,0.5,0,0.49,0.22,1
0.92,0.66,0.52,0.23,0.5,0,0.53,0.22,1
0.8,0.73,0.47,0.19,0.5,0,0.49,0.22,1
0.78,0.7,0.32,0.23,0.5,0,0.53,0.22,1
0.7,0.69,0.43,0.33,0.5,0,0.58,0.22,1
0.7,0.73,0.37,0.37,0.5,0,0.48,0.31,1
0.81,0.79,0.32,0.37,0.5,0,0.41,0.22,1
0.74,0.89,0.32,0.24,0.5,0,0.54,0.32,1
0.69,0.66,0.36,0.09,0.5,0,0.56,0.22,1
0.77,0.78,0.27,0.37,0.5,0,0.49,0.22,1
0.72,0.73,0.41,0.28,0.5,0,0.44,0.22,1
0.8,0.63,0.45,0.29,0.5,0,0.51,0.22,0
0.69,0.61,0.38,0.27,0.5,0,0.52,0.22,0
0.82,0.78,0.49,0.23,0.5,0,0.46,0.22,0
0.71,0.56,0.39,0.27,0.5,0,0.52,0.22,0
0.57,0.59,0.44,0.16,0.5,0,0.52,0.22,0
0.77,0.6,0.42,0.33,0.5,0,0.57,0.22,0
0.94,0.6,0.33,0.49,0.5,0,0.54,0.22,0
0.89,0.52,0.41,0.26,0.5,0,0.52,0.31,0
0.77,0.78,0.51,0.28,0.5,0,0.33,0.22,0
0.7,0.57,0.34,0.19,0.5,0,0.53,0.27,0
0.75,0.76,0.58,0.22,0.5,0,0.49,0.22,0
0.63,0.71,0.44,0.53,0.5,0,0.52,0.22,0
0.67,0.57,0.36,0.19,0.5,0,0.56,0.22,0
0.74,0.67,0.47,0.34,0.5,0,0.42,0.22,0
0.74,0.75,0.58,0.47,0.5,0,0.4,0.35,0
0.81,0.85,0.47,0.37,0.5,0,0.56,0.22,0
0.82,0.75,0.54,0.23,0.5,0,0.46,0.22,0
0.83,0.58,0.33,0.04,0.5,0,0.53,0.22,0
0.92,0.61,0.4,0.22,0.5,0,0.54,0.22,0
0.91,0.69,0.57,0.45,0.5,0,0.56,0.22,0
0.81,0.76,0.32,0.37,0.5,0,0.51,0.22,0
0.89,0.82,0.6,0.49,0.5,0,0.55,0.22,0
0.43,0.38,0.38,0.12,0.5,0,0.5,0.22,0
0.56,0.49,0.32,0.22,0.5,0,0.5,0.22,0
0.8,0.79,0.43,0.25,0.5,0,0.52,0.22,0
0.69,0.48,0.38,0.15,0.5,0,0.55,0.22,0
0.68,0.5,0.43,0.27,0.5,0,0.61,0.22,0
0.68,0.68,0.49,0.15,0.5,0,0.53,0.22,0
0.8,0.81,0.55,0.35,0.5,0,0.42,0.22,0
0.66,0.66,0.32,0.54,0.5,0,0.51,0.22,0
0.41,0.59,0.46,0.19,0.5,0,0.36,0.22,0
0.78,0.63,0.53,0.13,0.5,0,0.54,0.22,0
0.74,0.72,0.5,0.28,0.5,0,0.5,0.27,0
0.95,0.71,0.27,0.39,0.5,0,0.31,0.22,0
0.46,0.47,0.44,0.18,1,0,0.46,0.22,0
0.7,0.58,0.53,0.39,0.5,0,0.59,0.22,0
0.74,0.82,0.46,0.24,0.5,0,0.5,0.31,0
0.88,0.75,0.41,0.36,0.5,0,0.43,0.22,0
0.71,0.51,0.49,0.23,0.5,0,0.3,0.32,0
0.86,0.74,0.51,0.4,0.5,0,0.55,0.22,0
0.89,0.77,0.36,0.34,0.5,0,0.44,0.22,0
0.86,0.68,0.39,0.24,0.5,0,0.54,0.22,0
0.69,0.7,0.52,0.36,0.5,0,0.46,0.22,0
0.84,0.63,0.38,0.23,0.5,0,0.53,0.22,0
0.83,0.57,0.42,0.57,0.5,0,0.5,0.32,0
0.74,0.74,0.51,0.27,0.5,0,0.5,0.22,0
0.74,0.71,0.52,0.3,0.5,0,0.27,0.22,0
0.97,0.71,0.29,0.42,0.5,0,0.35,0.22,0
0.77,0.73,0.49,0.46,0.5,0,0.38,0.22,0
0.83,0.81,0.45,0.38,0.5,0,0.4,0.26,0
0.79,0.62,0.35,0.35,0.5,0,0.6,0.28,0
