"","X1","X2","X3","X4","X5","X6","X7","Y"
"1",59,49,48,5,52,45,36,0
"2",42,4,48,5,56,18,3,0
"3",39,32,48,5,46,24,35,0
"4",23,4,48,5,39,28,38,0
"5",29,37,48,5,48,44,52,0
"6",29,52,48,5,42,29,39,0
"7",33,45,48,5,52,32,41,0
"8",17,38,48,5,45,42,5,0
"9",4,35,48,5,45,33,42,0
"10",47,29,48,5,51,33,43,0
"11",35,48,48,5,56,4,48,0
"12",26,26,48,5,34,25,35,0
"13",37,5,48,5,42,36,45,0
"14",42,3,48,5,48,26,36,0
"15",29,47,48,5,41,23,34,0
"16",4,46,48,5,52,49,56,0
"17",4,42,48,5,37,27,27,0
"18",65,55,48,5,34,37,28,0
"19",24,57,48,5,63,34,43,0
"20",26,5,48,5,44,32,41,0
"21",34,35,48,5,51,49,56,0
"22",38,3,48,5,43,29,39,0
"23",29,28,48,5,5,42,5,0
"24",24,41,48,5,49,23,34,0
"25",4,31,48,5,41,29,39,0
"26",34,51,48,5,44,37,46,0
"27",0,38,48,5,42,48,55,0
"28",26,4,48,5,36,26,37,0
"29",44,35,48,5,44,52,59,0
"30",46,61,48,5,48,86,87,1
"31",48,45,48,5,6,78,8,1
"32",5,66,48,5,31,92,92,1
"33",45,4,48,5,61,74,77,1
"34",5,37,48,5,66,64,69,1
"35",83,37,48,5,61,71,74,1
"36",16,51,48,5,33,39,48,1
"37",7,46,48,5,56,78,73,1
"38",63,65,48,5,66,67,71,1
"39",34,67,48,5,52,76,79,1
"40",5,57,48,5,71,61,66,1
"41",35,51,48,5,61,71,74,1
"42",68,51,48,5,71,75,78,1
"43",0,51,48,5,35,67,44,1
"44",3,51,48,5,42,61,34,1
"58",74,49,48,5,42,54,36,0
"59",66,86,48,5,34,41,36,0
"60",72,86,48,5,17,55,21,0
"61",57,59,48,5,39,47,33,0
"62",74,82,48,5,49,49,41,0
"63",63,83,48,5,4,39,19,0
"64",74,47,48,5,5,57,42,0
"65",75,84,48,5,35,52,33,0
"66",7,71,48,5,42,84,85,0
"67",69,59,48,5,46,44,52,0
