"X1","X2","X3","X4","X5","X6","X7","Y"
21,34,48,5,51,28,39,0
22,43,48,5,48,16,28,0
4,29,48,5,42,35,44,0
65,47,48,5,59,3,4,0
28,38,48,5,5,33,42,0
61,45,48,5,48,35,41,0
42,35,48,5,58,15,27,0
22,36,48,5,35,39,47,0
47,47,48,5,22,16,26,0
51,37,48,5,35,36,45,0
42,38,48,5,54,34,43,0
44,56,48,5,5,46,54,0
25,37,48,5,43,26,36,0
44,42,48,5,42,25,2,0
24,43,48,5,37,28,38,0
36,56,48,5,43,45,53,0
5,49,48,5,49,46,53,0
3,45,48,5,36,21,32,0
35,37,48,5,3,34,43,0
51,46,48,5,58,31,41,0
38,4,48,5,63,25,35,0
47,28,48,5,56,2,25,0
38,44,48,5,43,2,31,0
41,51,48,5,58,2,31,0
25,51,48,5,37,42,5,0
17,39,48,5,53,3,39,0
37,44,48,5,42,39,47,0
27,3,48,5,71,28,39,0
16,43,48,5,54,27,37,0
23,48,48,5,59,88,89,1
34,49,48,5,58,85,8,1
27,35,48,5,51,77,79,1
12,67,48,5,74,58,63,1
54,49,48,5,4,87,88,1
48,41,48,5,51,9,88,1
49,42,48,5,53,79,81,1
12,43,48,5,63,7,74,1
33,37,48,5,46,65,69,1
41,51,48,5,53,75,78,1
59,56,48,5,55,8,82,1
51,4,48,5,57,62,67,1
36,47,48,5,51,69,72,1
31,36,48,5,58,94,94,1
36,45,48,5,38,79,17,1
63,49,48,5,54,76,79,2
69,43,48,5,59,74,77,3
64,46,48,5,48,73,76,3
47,46,48,5,62,74,77,3
7,53,48,5,7,86,87,3
64,45,48,5,67,61,66,3
81,52,48,5,57,78,8,3
84,54,48,5,75,92,7,3
63,69,48,5,65,41,28,4
61,75,48,5,51,33,33,4
64,57,48,5,7,33,26,4
69,59,48,5,77,39,21,4
77,57,1,5,37,54,1,5
7,61,48,5,56,52,43,6
65,57,48,5,47,47,51,6
66,74,48,5,31,38,43,6
7,64,48,5,47,51,47,6
69,67,48,5,3,39,24,6
76,73,48,5,44,39,39,6
69,66,48,5,41,5,25,6
69,65,48,5,63,48,41,6
74,56,48,5,47,68,3,6
71,57,48,5,48,35,32,6
59,61,48,5,42,42,37,6
