"X1","X2","X3","X4","Y"
4.6,3.4,1.4,0.3,0
5.4,3.7,1.5,0.2,0
5.7,3.8,1.7,0.3,0
5.1,3.8,1.5,0.3,0
4.9,3.1,1.5,0.1,0
4.9,3.1,1.5,0.1,0
4.4,3,1.3,0.2,0
5.1,3.8,1.6,0.2,0
5.7,2.8,4.5,1.3,1
5.2,2.7,3.9,1.4,1
5,2,3.5,1,1
5.9,3,4.2,1.5,1
5.5,2.4,3.8,1.1,1
5.6,3,4.1,1.3,1
5.5,2.5,4,1.3,1
5.1,2.5,3,1.1,1
5.7,2.8,4.1,1.3,1
6.3,2.9,5.6,1.8,2
7.2,3.6,6.1,2.5,2
5.7,2.5,5,2,2
7.2,3,5.8,1.6,2
7.4,2.8,6.1,1.9,2
7.9,3.8,6.4,2,2
5.8,2.7,5.1,1.9,2
6.7,3,5.2,2.3,2
6.3,2.5,5,1.9,2
4.9,3.1,1.5,0.1,0
5,3.5,1.6,0.6,0
6.5,2.8,4.6,1.5,1
7.7,2.6,6.9,2.3,2
