"X1","X2","X3","X4","X5","X6","X7","X8","Y"
3,107,62,13,48,22.9,0.678,23,1
3,169,74,19,125,29.9,0.268,31,1
4,171,72,0,0,43.6,0.479,26,1
0,189,104,25,0,34.3,0.435,41,1
5,109,62,41,129,35.8,0.514,25,1
6,119,50,22,176,27.1,1.318,33,1
1,100,66,29,196,32,0.444,42,0
3,84,68,30,106,31.9,0.591,25,0
0,84,64,22,66,35.8,0.545,21,0
1,164,82,43,67,32.8,0.341,50,0
1,153,82,42,485,40.6,0.687,23,0
1,108,88,19,0,27.1,0.4,24,0
2,112,68,22,94,34.1,0.315,26,0
6,93,50,30,64,28.7,0.356,23,0
4,118,70,0,0,44.5,0.904,26,0
6,80,66,30,0,26.2,0.313,41,0
5,73,60,0,0,26.8,0.268,27,0
12,140,85,33,0,37.4,0.244,41,0
2,83,66,23,50,32.2,0.497,22,0
7,83,78,26,71,29.3,0.767,36,0
5,108,72,43,75,36.1,0.263,33,0
7,137,90,41,0,32,0.391,39,0
3,173,82,48,465,38.4,2.137,25,1
13,126,90,0,0,43.4,0.583,42,1
4,142,86,0,0,44,0.645,22,1
0,198,66,32,274,41.3,0.502,28,1
3,130,78,23,79,28.4,0.323,34,1
0,101,65,28,0,24.6,0.237,22,0
0,127,80,37,210,36.3,0.804,23,0
2,108,62,32,56,25.2,0.128,21,0
0,93,60,0,0,35.3,0.263,25,0
1,79,80,25,37,25.4,0.583,22,0
2,120,54,0,0,26.8,0.455,27,0
3,99,54,19,86,25.6,0.154,24,0
11,136,84,35,130,28.3,0.26,42,1
7,114,66,0,0,32.8,0.258,42,1
0,180,66,39,0,42,1.893,25,1
1,88,30,42,99,55,0.496,26,1
1,119,86,39,220,45.6,0.808,29,1
3,112,74,30,0,31.6,0.197,25,1
1,81,74,41,57,46.3,1.096,32,0
1,87,68,34,77,37.6,0.401,24,0
5,88,66,21,23,24.4,0.342,30,0
6,87,80,0,0,23.2,0.084,32,0
2,122,60,18,106,29.8,0.717,22,0
6,129,90,7,326,19.6,0.582,60,0
0,102,52,0,0,25.1,0.078,21,0
0,145,0,0,0,44.2,0.63,31,1
7,114,64,0,0,27.4,0.732,34,1
5,166,76,0,0,45.7,0.34,27,1
6,147,80,0,0,29.5,0.178,50,1
1,99,72,30,18,38.6,0.412,21,0
5,121,72,23,112,26.2,0.245,30,0
2,100,54,28,105,37.8,0.498,24,0
1,95,74,21,73,25.9,0.673,36,0
2,75,64,24,55,29.7,0.37,33,0
12,88,74,40,54,35.3,0.378,48,0
4,120,68,0,0,29.6,0.709,34,0
3,142,80,15,0,32.4,0.2,63,0
0,162,76,56,100,53.2,0.759,25,1
8,155,62,26,495,34,0.543,46,1
8,188,78,0,0,47.9,0.137,43,1
6,190,92,0,0,35.5,0.278,66,1
2,128,78,37,182,43.3,1.224,31,1
4,173,70,14,168,29.7,0.361,33,1
7,152,88,44,0,50,0.337,36,1
7,196,90,0,0,39.8,0.451,41,1
1,122,64,32,156,35.1,0.692,30,1
7,133,84,0,0,40.2,0.696,37,0
5,109,75,26,0,36,0.546,60,0
0,165,90,33,680,52.3,0.427,23,0
4,95,60,32,0,35.4,0.284,28,0
