"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","Y"
947,543,782,-449,-8,1316,756,-61,1604,1686,264,-382,1259,608,-2292,1008,2687,-1422,-606,2374,1
1144,346,77,112,146,1337,174,23,1299,-6,-801,-32,398,-434,1956,109,-242,1629,-81,-572,1
626,2194,994,1881,724,-37,1615,805,709,1182,117,1119,-487,-376,-787,1315,727,-1318,1315,-139,1
1668,1046,-892,1126,1048,576,61,-288,2006,1481,722,1288,384,902,1595,-729,437,-156,1392,-323,1
4938,-719,-114,-392,-128,-1174,-33,-61,-125,3066,-2004,-981,1414,-2735,199,1467,178,-3348,-423,3378,0
1184,-1025,513,672,1486,257,335,2603,158,1151,561,912,927,139,787,-35,3,-857,562,1147,1
3333,1133,1623,-1915,2069,2144,457,814,9,97,1708,-4284,2354,-2837,3227,-465,-2107,584,-875,2097,0
244,355,1602,1038,1237,1995,1564,251,859,-196,173,1339,-92,-901,632,-146,25,1196,1804,45,1
-1503,-151,-995,611,-108,1,314,1841,796,1623,-686,1673,-332,2293,2255,132,275,31,-907,1251,1
-1058,1494,-739,1244,-291,346,-825,656,2902,2322,-432,-296,673,481,-748,-148,806,679,3561,1103,1
54,16,1771,51,136,196,961,64,412,-35,115,-457,1567,728,768,-96,-1258,945,153,963,1
1667,-833,-2664,571,1571,344,794,36,381,1536,-126,747,55,149,1494,1095,-58,-1314,522,-96,1
-2323,-2483,3073,-3387,-3786,3677,-3593,-4427,-908,-9,-1079,-1843,1324,1879,-348,-916,-743,-11,-1231,-1885,0
44,1674,-876,974,865,135,-175,-358,-94,1853,-428,-906,-392,1685,884,363,1366,-676,-15,1507,1
457,-66,411,-522,11,2544,261,1519,999,1393,-1014,128,581,1264,1184,986,641,-1303,1656,2324,1
3078,328,-1782,-1425,-698,-828,-1724,-644,-3044,1196,1395,2392,1001,2518,-102,134,-1243,1418,2257,1905,0
-597,-942,-713,804,1175,-784,-359,922,-1176,-477,277,2736,656,-1034,501,1212,-1355,1601,599,73,1
2345,348,29,534,1,11,2479,372,72,-35,-213,2139,348,105,395,1098,-421,497,-19,-518,1
955,924,-191,2078,866,132,-126,287,-537,1102,1838,2282,-37,1962,766,-323,682,27,2366,2257,1
335,-2282,795,-4517,145,139,189,2233,-106,1843,4217,1649,-655,-1661,715,584,109,1126,-1131,-643,0
-373,797,931,818,1405,-124,-247,-253,388,122,1776,13,1597,579,-855,101,661,248,694,-1108,1
1562,1386,-1497,42,-555,-105,773,-349,-682,2043,237,-405,1669,1856,46,1358,43,754,1237,974,1
-965,36,-354,466,-358,-166,-931,245,172,1076,734,939,-153,138,1081,685,554,1533,1685,-993,1
-433,-763,1173,891,3192,-3852,-73,2161,173,-755,-2609,125,-1432,-2073,-2682,-585,1688,-4769,1186,-558,0
401,346,-4165,-1196,816,-99,1199,3642,3732,-9,3515,-3411,304,221,-96,728,1364,-761,-2901,2671,0
1622,-1218,-1277,-3787,-706,-3461,3581,2866,-424,2804,-2826,374,2195,-5771,-565,2938,3,-84,-315,59,0
-1387,-59,-243,-1917,1039,2253,6,-3447,829,2507,-713,554,3179,-1816,-2961,-3894,-82,1323,2298,-1727,0
-1273,-612,832,-561,-391,-1162,866,-622,339,646,-397,-16,1849,1885,-76,-12,849,1539,1058,712,1
1086,-501,-549,469,-473,258,1092,473,184,1251,-216,2225,-69,-818,186,-942,276,-458,-123,1,1
965,-452,-668,1274,244,2046,707,78,996,1148,-37,692,2269,2238,-1832,817,359,308,59,1552,1
-789,-952,-1208,93,-244,-526,4,221,1718,-253,2907,-605,1538,-2355,-482,2149,-152,739,-1499,2036,0
1138,1498,-95,983,436,731,-1397,-86,1467,1,-252,1605,-168,376,115,-161,-1868,199,632,-261,1
802,237,67,-396,-1069,916,-2,1056,818,1396,968,235,212,219,-213,652,1808,-145,-1003,1997,1
903,-946,1487,198,737,1342,-704,362,606,579,-412,-915,-1816,782,-12,37,-155,-168,1369,255,1
-1622,-739,285,-1009,1861,-2614,-753,-2787,988,1446,1814,-12,-1976,-485,225,1385,-1584,-1869,114,-18,0
-2393,-2546,819,92,414,2632,-951,-4072,79,-171,-151,-2917,-2292,2904,1347,-3162,642,-1592,-2313,512,0
-73,-563,2223,1793,1113,2572,755,-678,-208,3,-475,-1386,2409,2039,-611,-1153,78,333,-178,888,1
