"X1","X2","Y"
2.011,3.134,1
1.96,1.434,1
1.945,1.426,1
1.914,1.415,1
1.897,1.413,1
1.881,1.407,1
1.865,1.406,1
1.848,1.404,1
1.831,1.402,1
1.815,1.403,1
1.798,1.398,1
1.781,1.396,1
1.764,1.397,1
1.748,1.395,1
1.647,1.394,1
1.631,1.406,1
1.628,1.405,1
1.612,1.39,1
1.596,1.388,1
1.559,1.386,1
1.581,1.387,1
1.332,2.171,1
1.3,2.197,1
1.284,2.208,1
1.274,2.224,1
1.261,2.233,1
1.251,2.241,1
1.242,2.252,1
1.226,2.261,1
1.182,2.282,1
1.144,2.302,1
1.325,0.907,1
1.761,0.902,1
1.018,0.908,1
1.001,0.906,1
0.983,0.91,1
0.938,0.911,1
0.922,0.909,1
0.907,0.911,1
2.051,1.407,1
2.04,1.401,1
2.028,1.399,1
2.015,1.4,1
2.002,1.399,1
1.988,1.395,1
1.973,1.391,1
1.958,1.391,1
1.943,1.39,1
1.928,1.387,1
1.912,1.386,1
1.897,1.386,1
1.882,1.382,1
1.867,1.381,1
1.852,1.381,1
1.824,1.381,1
1.799,1.383,1
1.68,1.417,1
1.671,1.384,1
1.601,1.379,1
1.599,1.38,1
1.308,0.923,1
1.277,2.127,1
1.263,2.14,1
1.235,2.165,1
1.221,2.177,1
1.208,2.191,1
1.195,2.202,1
1.183,2.213,1
1.158,2.228,1
1.137,2.243,1
1.128,2.251,1
1.117,2.255,1
1.104,2.263,1
1.091,2.271,1
1.078,2.278,1
1.926,1.455,1
1.894,1.439,1
1.877,1.432,1
1.841,1.426,1
1.822,1.424,1
1.804,1.421,1
1.786,1.418,1
1.752,1.415,1
1.734,1.412,1
1.717,1.41,1
1.701,1.408,1
1.672,1.405,1
1.659,1.41,1
1.653,1.419,1
1.651,1.414,1
1.65,1.412,1
1.649,1.412,1
1.646,1.415,1
1.636,1.411,1
1.629,1.411,1
1.629,1.411,1
1.627,1.412,1
1.629,1.411,1
1.626,1.412,1
1.628,1.412,1
1.603,1.413,1
1.556,1.413,1
1.556,1.413,1
1.558,1.414,1
1.558,1.413,1
1.557,1.414,1
1.556,1.414,1
1.558,1.419,1
1.554,1.42,1
1.35,5,1
1.34,2.669,1
1.321,2.647,1
1.311,2.636,1
1.299,1.327,1
1.315,1.304,1
1.304,1.291,1
1.285,1.281,1
1.274,1.274,1
1.28,1.268,1
1.239,1.258,1
1.222,1.169,1
1.211,1.171,1
1.201,1.174,1
1.181,1.18,1
1.172,1.18,1
1.159,1.179,1
1.15,0.94,1
1.144,0.947,1
1.135,0.958,1
1.126,1.183,1
1.121,1.184,1
1.107,1.185,1
1.096,1.186,1
1.072,1.198,1
1.061,2.505,1
1.054,1.007,1
1.044,1.009,1
1.033,1.01,1
1.02,1.015,1
1.005,1.023,1
0.981,1.029,1
0.973,1.034,1
0.957,1.033,1
0.931,1.001,1
0.918,1.038,1
1.893,1.428,1
1.859,1.413,1
1.82,1.4,1
1.801,1.398,1
1.782,1.394,1
1.763,1.389,1
1.745,1.386,1
1.727,1.381,1
1.633,1.38,1
1.693,1.384,1
1.678,1.412,1
1.649,1.372,1
1.569,1.369,1
1.559,1.367,1
1.578,1.364,1
1.547,1.361,1
1.555,1.358,1
1.369,2.692,1
1.358,2.689,1
1.342,2.686,1
1.284,0.935,1
1.276,2.253,1
1.265,1.319,1
1.254,1.324,1
1.098,2.365,1
1.081,2.372,1
1.014,2.401,1
0.997,2.407,1
0.915,0.913,1
2.096,3.091,1
2.085,3.097,1
1.995,1.464,1
1.981,1.455,1
1.968,1.452,1
1.956,1.447,1
1.943,1.446,1
1.931,1.444,1
1.918,1.442,1
1.905,1.441,1
1.891,1.437,1
1.877,1.435,1
1.862,1.434,1
1.833,1.431,1
1.818,1.43,1
1.804,1.431,1
1.79,1.43,1
1.762,1.44,1
1.686,1.432,1
1.677,1.424,1
1.658,1.422,1
1.646,1.421,1
1.345,0.982,1
1.332,2.168,1
1.29,2.204,1
1.277,2.217,1
1.263,2.229,1
1.249,1.292,1
1.236,1.297,1
1.21,1.312,1
1.201,1.319,1
1.19,2.29,1
1.181,2.298,1
1.17,2.304,1
1.157,1.762,1
1.144,1.772,1
1.108,2.34,1
1.096,2.347,1
1.874,1.496,1
1.836,1.488,1
1.817,1.485,1
1.797,1.481,1
1.779,1.481,1
1.76,1.474,1
1.742,1.473,1
1.706,1.466,1
1.688,1.462,1
1.671,1.459,1
1.659,1.456,1
1.641,1.457,1
1.626,1.477,1
1.598,1.449,1
1.584,1.446,1
1.57,1.444,1
1.557,1.442,1
1.545,1.439,1
1.47,1.444,1
1.44,2.738,1
1.389,2.278,1
1.382,2.283,1
1.37,1.432,1
1.357,1.746,1
1.346,1.748,1
1.335,1.754,1
1.327,1.762,1
1.318,1.774,1
1.306,2.35,1
1.292,2.359,1
1.267,2.373,1
1.251,2.38,1
1.238,2.387,1
1.229,2.394,1
1.204,2.408,1
1.191,2.415,1
1.149,1.6,1
1.119,0.943,1
1.105,0.94,1
1.091,0.938,1
1.08,0.938,1
1.067,0.938,1
1.038,0.933,1
1.019,0.933,1
1.005,0.933,1
0.991,0.933,1
0.975,0.933,1
0.961,0.935,1
0.946,0.935,1
0.935,0.937,1
0.922,0.939,1
1.33,0.498,0
1.32,0.499,0
1.31,0.501,0
1.298,0.504,0
1.285,0.507,0
1.271,0.511,0
1.256,0.515,0
1.239,0.52,0
1.206,0.53,0
1.188,0.535,0
1.17,0.541,0
1.152,0.548,0
1.133,0.554,0
1.114,0.56,0
1.094,0.567,0
1.075,0.573,0
1.056,0.58,0
1.037,0.586,0
1.019,0.593,0
0.983,0.606,0
0.966,0.612,0
0.948,0.619,0
0.931,0.625,0
0.914,0.632,0
1.593,0.774,0
1.593,0.77,0
1.593,0.765,0
1.592,0.763,0
1.591,0.763,0
1.59,0.763,0
1.588,0.763,0
1.586,0.758,0
1.576,0.759,0
1.566,0.753,0
1.555,0.751,0
0.932,0.745,0
1.525,0.739,0
1.508,0.733,0
1.494,0.727,0
1.473,0.721,0
1.454,0.715,0
1.438,0.707,0
1.419,0.7,0
1.399,0.694,0
1.379,0.69,0
1.358,0.683,0
1.338,0.673,0
1.317,0.666,0
1.276,0.652,0
1.255,0.645,0
1.233,0.638,0
1.212,0.627,0
1.138,0.6,0
1.105,0.588,0
1.089,0.582,0
1.074,0.576,0
1.043,0.564,0
1.026,0.562,0
1.009,0.555,0
0.989,0.549,0
1.421,0.497,0
1.421,0.5,0
1.414,0.504,0
1.404,0.507,0
1.393,0.511,0
1.381,0.515,0
1.353,0.526,0
1.293,0.538,0
1.273,0.545,0
1.287,0.551,0
1.269,0.559,0
1.22,0.566,0
1.202,0.574,0
1.183,0.581,0
1.143,0.597,0
1.128,0.604,0
1.106,0.612,0
1.068,0.627,0
1.049,0.635,0
1.03,0.642,0
1.012,0.65,0
0.994,0.657,0
0.975,0.664,0
0.957,0.672,0
0.942,0.679,0
1.173,0.686,0
1.16,0.695,0
1.148,0.702,0
1.139,0.707,0
1.128,0.702,0
1.126,0.704,0
1.473,0.71,0
1.434,0.719,0
1.412,0.726,0
1.063,0.733,0
1.05,0.741,0
1.04,0.748,0
1.03,0.756,0
1.021,0.763,0
1.011,0.771,0
0.983,0.78,0
0.984,0.78,0
0.983,0.78,0
0.981,0.78,0
0.98,0.78,0
0.979,0.779,0
0.978,0.779,0
0.974,0.778,0
0.972,0.777,0
0.968,0.777,0
0.961,0.776,0
0.937,0.773,0
0.924,0.775,0
0.91,0.774,0
1.815,0.746,0
1.824,0.835,0
0.919,0.747,0
0.912,0.746,0
0.905,0.742,0
2.67,0.7,0
2.66,0.697,0
2.651,0.693,0
2.644,0.69,0
2.634,0.687,0
2.622,0.683,0
2.618,0.68,0
2.595,0.676,0
1.567,0.672,0
1.537,0.664,0
2.528,0.66,0
1.499,0.655,0
1.478,0.651,0
1.459,0.647,0
1.441,0.538,0
1.422,0.64,0
1.388,0.632,0
1.35,0.624,0
1.331,0.62,0
1.309,0.616,0
1.294,0.612,0
1.275,0.608,0
2.23,0.599,0
2.21,0.595,0
2.171,0.585,0
2.151,0.583,0
2.131,0.58,0
2.111,0.576,0
2.092,0.572,0
2.072,0.568,0
2.034,0.561,0
2.014,0.557,0
1.994,0.553,0
1.975,0.549,0
1.955,0.545,0
1.935,0.541,0
1.916,0.537,0
1.897,0.533,0
1.878,0.53,0
1.859,0.526,0
1.84,0.522,0
1.822,0.518,0
1.392,0.496,0
1.372,0.499,0
1.361,0.501,0
1.349,0.503,0
1.336,0.506,0
1.322,0.509,0
1.308,0.513,0
1.292,0.516,0
1.275,0.521,0
1.259,0.526,0
1.241,0.531,0
1.223,0.536,0
1.168,0.553,0
1.15,0.559,0
1.131,0.565,0
1.094,0.578,0
1.056,0.591,0
1.037,0.597,0
0.979,0.615,0
0.94,0.631,0
0.923,0.638,0
0.904,0.645,0
1.566,0.749,0
1.567,0.745,0
1.568,0.711,0
1.57,0.741,0
1.572,0.74,0
1.567,0.742,0
1.56,0.724,0
1.54,0.726,0
1.527,0.72,0
1.481,0.7,0
1.464,0.693,0
1.447,0.686,0
1.429,0.678,0
1.411,0.671,0
1.374,0.656,0
1.335,0.644,0
1.316,0.638,0
1.297,0.63,0
1.262,0.617,0
1.24,0.61,0
1.223,0.604,0
1.2,0.597,0
1.18,0.587,0
1.161,0.58,0
1.141,0.574,0
1.121,0.566,0
1.102,0.562,0
1.083,0.556,0
1.065,0.549,0
1.046,0.543,0
1.028,0.537,0
1.01,0.53,0
0.974,0.517,0
0.938,0.505,0
3.281,0.761,0
3.273,0.756,0
3.267,0.751,0
3.258,0.747,0
3.237,0.741,0
3.22,0.735,0
3.189,0.723,0
3.172,0.716,0
3.16,0.713,0
3.138,0.706,0
3.082,0.71,0
0.94,0.694,0
0.94,0.694,0
3.023,0.684,0
3.001,0.682,0
2.981,0.656,0
2.965,0.646,0
2.659,0.65,0
2.641,0.634,0
2.651,0.625,0
2.885,0.623,0
2.866,0.614,0
2.581,0.613,0
2.828,0.607,0
2.549,0.599,0
2.544,0.597,0
2.471,0.589,0
2.466,0.589,0
2.696,0.585,0
2.281,0.606,0
2.261,0.598,0
2.248,0.593,0
2.63,0.584,0
2.604,0.597,0
2.585,0.574,0
2.565,0.568,0
2.546,0.559,0
2.527,0.553,0
2.508,0.547,0
2.486,0.54,0
2.468,0.534,0
2.448,0.528,0
2.432,0.52,0
2.41,0.518,0
2.394,0.525,0
2.353,0.497,0
1.877,0.515,0
1.791,0.567,0
1.78,0.598,0
2.025,0.578,0
2,0.515,0
1.974,0.495,0
1.463,0.715,0
1.37,0.723,0
1.429,0.73,0
1.347,0.848,0
1.197,0.862,0
1.17,0.868,0
1.133,0.819,0
1.103,0.824,0
1.089,0.826,0
1.074,0.828,0
1.059,0.83,0
1.042,0.828,0
1.025,0.823,0
1.007,0.797,0
0.985,0.792,0
0.967,0.795,0
0.947,0.794,0
0.928,0.797,0
0.908,0.8,0
1.182,0.752,0
1.346,0.743,0
1.349,0.741,0
1.348,0.737,0
1.34,0.74,0
1.339,0.736,0
1.338,0.735,0
1.341,0.738,0
1.337,0.738,0
1.34,0.738,0
1.332,0.741,0
1.325,0.74,0
1.292,0.726,0
1.278,0.72,0
1.248,0.708,0
1.231,0.705,0
1.213,0.698,0
1.157,0.681,0
1.138,0.68,0
1.119,0.682,0
1.1,0.722,0
0.943,0.654,0
