"X1","X2","Y"
1.687,0.445,1
1.687,0.449,1
1.687,0.449,1
1.687,0.449,1
1.687,0.449,1
1.686,0.446,1
1.684,0.451,1
1.68,0.453,1
0.908,0.478,1
1.27,0.477,1
1.639,0.476,1
1.637,0.474,1
1.636,0.475,1
1.635,0.475,1
1.635,0.475,1
1.633,0.475,1
1.629,0.474,1
1.624,0.473,1
1.618,0.473,1
1.611,0.473,1
1.603,0.471,1
1.581,0.471,1
1.572,0.471,1
1.562,0.47,1
1.553,0.47,1
1.179,0.47,1
1.167,0.47,1
1.151,0.471,1
1.143,0.471,1
1.136,0.471,1
1.128,0.472,1
1.477,0.472,1
1.129,0.473,1
1.457,0.473,1
1.448,0.474,1
1.438,0.475,1
1.428,0.486,1
1.418,0.485,1
1.409,0.486,1
1.399,0.485,1
1.39,0.486,1
1.38,0.487,1
1.37,0.489,1
1.354,0.494,1
1.491,0.46,1
1.201,0.456,1
1.2,0.455,1
1.198,0.455,1
1.198,0.455,1
1.197,0.456,1
1.198,0.456,1
1.191,0.457,1
1.208,0.461,1
1.553,0.462,1
1.191,0.464,1
1.535,0.465,1
1.528,0.466,1
1.519,0.468,1
1.512,0.47,1
1.416,0.471,1
1.522,0.473,1
1.475,0.476,1
1.487,0.478,1
1.472,0.483,1
1.459,0.486,1
1.462,0.489,1
1.34,0.491,1
1.335,0.494,1
1.821,0.371,1
1.816,0.357,1
1.813,0.357,1
1.813,0.357,1
1.81,0.356,1
1.81,0.356,1
0.963,0.356,1
1.81,0.356,1
0.957,0.357,1
1.799,0.357,1
0.93,0.362,1
1.727,0.383,1
2.715,0.374,1
2.693,0.378,1
2.681,0.386,1
1.501,0.487,1
1.495,0.487,1
1.702,0.485,1
1.491,0.485,1
1.492,0.485,1
1.694,0.484,1
1.689,0.483,1
1.682,0.483,1
1.675,0.482,1
1.666,0.481,1
1.656,0.48,1
1.635,0.478,1
1.624,0.478,1
1.603,0.477,1
1.593,0.477,1
1.584,0.478,1
1.567,0.478,1
1.55,0.478,1
1.541,0.479,1
1.531,0.48,1
1.511,0.481,1
1.316,0.482,1
1.304,0.483,1
1.283,0.486,1
1.278,0.487,1
1.273,0.488,1
1.432,0.49,1
1.422,0.491,1
1.412,0.493,1
1.402,0.494,1
0.904,0.403,1
3.338,0.423,1
3.335,0.424,1
3.335,0.425,1
3.335,0.422,1
3.335,0.425,1
3.335,0.425,1
3.335,0.425,1
3.335,0.425,1
3.322,0.436,1
3.316,0.443,1
3.309,0.454,1
3.301,0.463,1
3.29,0.479,1
2.338,0.491,1
2.316,0.481,1
1.877,0.463,1
2.225,0.461,1
2.18,0.458,1
2.166,0.457,1
1.879,0.474,1
2.12,0.467,1
1.838,0.46,1
1.827,0.46,1
2.09,0.464,1
1.84,0.458,1
1.832,0.468,1
0.906,0.494,1
0.905,0.494,1
1.493,0.455,1
1.492,0.453,1
1.2,0.451,1
1.199,0.449,1
1.196,0.448,1
1.195,0.448,1
1.196,0.448,1
1.195,0.448,1
1.195,0.448,1
1.194,0.448,1
1.193,0.449,1
1.191,0.449,1
1.191,0.45,1
1.57,0.453,1
1.206,0.454,1
1.558,0.455,1
1.553,0.461,1
1.54,0.463,1
1.493,0.468,1
1.476,0.471,1
1.467,0.474,1
1.488,0.476,1
1.468,0.482,1
1.459,0.485,1
1.424,0.488,1
1.428,0.494,1
0.917,0.468,1
1.653,0.476,1
1.636,0.478,1
1.616,0.484,1
1.603,0.487,1
1.553,0.466,1
1.542,0.458,1
1.543,0.453,1
1.544,0.453,1
1.542,0.453,1
1.541,0.452,1
1.541,0.452,1
1.54,0.452,1
1.541,0.452,1
1.541,0.452,1
1.54,0.452,1
1.54,0.452,1
1.539,0.451,1
1.493,0.423,1
1.496,0.422,1
1.732,0.42,1
1.731,0.418,1
1.731,0.418,1
1.732,0.418,1
1.731,0.418,1
1.731,0.418,1
1.731,0.418,1
1.731,0.418,1
1.731,0.418,1
1.731,0.418,1
1.729,0.418,1
1.726,0.418,1
1.721,0.417,1
1.714,0.417,1
1.707,0.416,1
1.698,0.416,1
1.679,0.416,1
1.657,0.416,1
1.615,0.42,1
1.604,0.421,1
1.584,0.423,1
1.36,0.425,1
1.34,0.428,1
1.323,0.431,1
1.314,0.433,1
1.305,0.435,1
1.289,0.439,1
1.285,0.441,1
1.473,0.443,1
1.463,0.445,1
1.452,0.447,1
1.442,0.449,1
1.432,0.451,1
1.411,0.455,1
1.401,0.458,1
1.391,0.46,1
1.381,0.462,1
1.371,0.465,1
1.362,0.467,1
1.352,0.469,1
1.343,0.472,1
1.333,0.474,1
1.314,0.48,1
1.305,0.483,1
1.295,0.486,1
1.286,0.489,1
5,0.476,1
5,0.483,1
2.472,0.482,1
2.452,0.474,1
2.433,0.466,1
2.415,0.457,1
2.397,0.45,1
2.38,0.443,1
2.333,0.427,1
2.319,0.425,1
2.307,0.437,1
1.793,0.426,1
1.78,0.418,1
1.768,0.426,1
1.749,0.397,1
