"X1","X2","X3","X4","X5","X6","Y"
2427,7097,10391,1127,4314,1468,1
11686,2154,6824,3527,592,697,1
9670,2280,2112,520,402,347,1
3067,13240,23127,3941,9959,731,1
4484,14399,24708,3549,14235,1681,1
25203,11487,9490,5065,284,6854,1
583,685,2216,469,954,18,1
1956,891,5226,1383,5,1328,1
1107,11711,23596,955,9265,710,1
2541,4737,6089,2946,5316,120,1
1537,3748,5838,1859,3381,806,1
18567,1895,1393,1801,244,2100,1
7291,1012,2062,1291,240,1775,1
3317,6602,6861,1329,3961,1215,1
2362,6551,11364,913,5957,791,1
2806,10765,15538,1374,5828,2388,1
18044,1475,2046,2532,130,1158,1
18,7504,15205,1285,4797,6372,1
4155,367,1390,2306,86,130,1
14755,899,1382,1765,56,749,1
5396,7503,10646,91,4167,239,1
5041,1115,2856,7496,256,375,1
2790,2527,5265,5612,788,1360,1
7274,659,1499,784,70,659,1
12680,3243,4157,660,761,786,1
20782,5921,9212,1759,2568,1553,1
4042,2204,1563,2286,263,689,1
1869,577,572,950,4762,203,1
8656,2746,2501,6845,694,980,1
2344,10678,3828,1439,1566,490,1
25962,1780,3838,638,284,834,1
964,4984,3316,937,409,7,1
1838,6380,2824,1218,1216,295,1
18692,3838,593,4634,28,1215,1
7363,475,585,1112,72,216,1
47493,2567,3779,5243,828,2253,1
22096,3575,7041,11422,343,2564,1
18226,659,2914,3752,586,578,1
11210,3576,5119,561,1682,2398,1
6202,7775,10817,1183,3143,1970,1
3062,6154,13916,230,8933,2784,1
8885,2428,1777,1777,430,610,1
13569,346,489,2077,44,659,1
8040,3795,2070,6340,918,291,1
6623,1860,4740,7683,205,1693,1
29526,7961,16966,432,363,1391,1
11092,5008,5249,453,392,373,1
8475,1931,1883,5004,3593,987,1
56083,4563,2124,6422,730,3321,1
53205,4959,7336,3012,967,818,1
9193,4885,2157,327,780,548,1
7858,1110,1094,6818,49,287,1
23257,1372,1677,982,429,655,1
2153,1115,6684,4324,2894,411,1
5909,23527,13699,10155,830,3636,1
572,9763,22182,2221,4882,2563,1
20893,1222,2576,3975,737,3628,1
11908,8053,19847,1069,6374,698,1
15218,258,1138,2516,333,204,1
2083,5007,1563,1120,147,1550,1
514,8323,6869,529,93,1040,1
3996,11103,12469,902,5952,741,0
7588,1897,5234,417,2208,254,0
8090,3199,6986,1455,3712,531,0
6758,4560,9965,934,4538,1037,0
444,879,2060,264,290,259,0
16448,6243,6360,824,2662,2005,0
2886,5302,9785,364,6236,555,0
2599,3688,13829,492,10069,59,0
161,7460,24773,617,11783,2410,0
243,12939,8852,799,3909,211,0
6468,12867,21570,1840,7558,1543,0
17327,2374,2842,1149,351,925,0
6987,1020,3007,416,257,656,0
7034,1492,2405,12569,299,1117,0
29635,2335,8280,3046,371,117,0
10617,1795,7647,1483,857,1233,0
1479,14982,11924,662,3891,3508,0
1182,3088,6114,978,821,1637,0
9759,25071,17645,1128,12408,1625,0
1774,3696,2280,514,275,834,0
9155,1897,5167,2714,228,1113,0
15881,713,3315,3703,1470,229,0
25977,3587,2464,2369,140,1092,0
4414,1610,1431,3498,387,834,0
542,899,1664,414,88,522,0
16933,2209,3389,7849,210,1534,0
11223,14881,26839,1234,9606,1102,0
22321,3216,1447,2208,178,2602,0
8565,4980,67298,131,38102,1215,0
16823,928,2743,11559,332,3486,0
13970,1511,1330,650,146,778,0
9351,1347,2611,8170,442,868,0
3,333,7021,15601,15,550,0
12669,9656,7561,214,2674,1338,0
7057,9810,9568,1762,3293,1776,0
6353,8808,7684,2405,3516,7844,0
13265,1196,4221,6404,507,1788,0
22615,5410,7198,3915,1777,5185,0
9413,8259,5126,666,1795,1451,0
7579,4956,9426,1669,3321,2566,0
5963,3648,6192,425,1716,750,0
6006,11093,18881,1159,7425,2098,0
3366,5403,12974,4400,5977,1744,0
13146,1124,4523,1420,549,497,0
21217,6208,14982,3095,6707,602,0
24653,9465,12091,294,5058,2168,0
10253,1114,3821,397,964,412,0
1020,8816,12121,134,4508,1080,0
7780,2495,9464,669,2518,501,0
17546,4519,4602,1066,2259,2124,0
5567,871,2010,3383,375,569,0
31276,1917,4469,9408,2381,4334,0
26373,36423,22019,5154,4337,16523,0
16165,4230,7595,201,4003,57,0
14276,803,3045,485,100,518,0
4113,20484,25957,1158,8604,5206,0
43088,2100,2609,1200,1107,823,0
2612,4339,3133,2088,820,985,0
21632,1318,2886,266,918,405,0
29729,4786,7326,6130,361,1083,0
1502,1979,2262,425,483,395,0
688,5491,11091,833,4239,436,0
29955,4362,5428,1729,862,4626,0
4591,15729,16709,33,6956,433,0
56159,555,902,10002,212,2916,0
