"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","Y"
49,"48","402","19296","8.375","0.055","0.094","4.13","1058","1814","256","1"
73,"12","146","1752","12.167","0.091","0.128","26.67","160","225","6","1"
213,"36","96","3456","2.667","0.096","0.207","7.7","331","717","43","1"
230,"14","19","266","1.357","0.113","0.504","30","30","134","1","1"
232,"5","12","60","2.4","0.133","0.267","4","8","16","2","1"
237,"6","5","30","0.833","0.233","0.633","1.75","7","19","4","1"
239,"81","49","3969","0.605","0.113","0.398","2.26","449","1580","199","1"
241,"8","1","8","0.125","0.875","1","7","7","8","1","1"
417,"9","6","54","0.667","0.407","0.519","5.5","22","28","4","1"
425,"13","5","65","0.385","0.123","0.538","8","8","35","1","1"
433,"19","47","893","2.474","0.078","0.112","3.89","70","100","18","1"
446,"4","11","44","2.75","0.159","0.932","1.75","7","41","4","1"
721,"83","277","22991","3.337","0.18","0.365","6.86","4138","8387","603","1"
757,"54","357","19278","6.611","0.299","0.655","6.4","5766","12626","901","1"
992,"311","463","143993","1.489","0.088","0.16","3.93","12631","23092","3212","1"
1063,"83","314","26062","3.783","0.298","0.671","8.75","7772","17482","888","1"
1075,"197","198","39006","1.005","0.273","0.332","46.93","10654","12964","227","1"
1165,"306","465","142290","1.52","0.055","0.123","2.69","7861","17452","2925","1"
1347,"4","5","20","1.25","0.35","0.8","2.33","7","16","3","1"
1348,"4","7","28","1.75","0.286","1","2","8","28","4","1"
1349,"4","5","20","1.25","0.35","0.8","2.33","7","16","3","1"
1357,"100","49","4900","0.49","0.093","0.4","1.77","458","1958","259","1"
1358,"10","7","70","0.7","0.157","0.6","1.57","11","42","7","1"
1361,"6","6","36","1","0.194","0.417","3.5","7","15","2","1"
1362,"8","9","72","1.125","0.125","0.319","4.5","9","23","2","1"
1533,"10","12","120","1.2","0.208","0.583","1.67","25","70","15","1"
1555,"12","4","48","0.333","0.292","1","2","14","48","7","1"
1559,"54","48","2592","0.889","0.143","0.264","6.85","370","685","54","1"
1623,"68","34","2312","0.5","0.224","0.526","2.44","519","1215","213","1"
1625,"6","17","102","2.833","0.137","0.627","2.8","14","64","5","1"
1641,"16","29","464","1.813","0.144","0.496","2.58","67","230","26","1"
1939,"83","314","26062","3.783","0.282","0.619","8.77","7353","16139","838","1"
2047,"118","105","12390","0.89","0.052","0.105","3.33","642","1296","193","1"
2048,"158","167","26386","1.057","0.16","0.276","8.24","4213","7279","511","1"
2100,"153","442","67626","2.889","0.114","0.215","6.27","7689","14538","1227","1"
2107,"7","13","91","1.857","0.154","0.484","2","14","44","7","1"
2311,"52","461","23972","8.865","0.192","0.248","11.52","4607","5938","400","1"
2363,"38","70","2660","1.842","0.059","0.062","19.63","157","165","8","1"
2390,"31","71","2201","2.29","0.159","0.296","10.29","350","651","34","1"
2416,"33","28","924","0.848","0.098","0.271","5.69","91","250","16","1"
2417,"17","60","1020","3.529","0.139","0.371","7.1","142","378","20","1"
2423,"15","14","210","0.933","0.11","0.338","1.92","23","71","12","1"
2424,"7","24","168","3.429","0.101","0.298","1.89","17","50","9","1"
2427,"5","9","45","1.8","0.178","0.533","1.6","8","24","5","1"
2431,"7","47","329","6.714","0.158","0.289","5.78","52","95","9","1"
2583,"24","18","432","0.75","0.139","0.377","2.07","60","163","29","1"
2586,"16","4","64","0.25","0.156","0.531","5","10","34","2","1"
2602,"13","5","65","0.385","0.323","0.554","5.25","21","36","4","1"
2607,"5","4","20","0.8","0.45","0.65","4.5","9","13","2","1"
2609,"6","5","30","0.833","0.367","1","2.2","11","30","5","1"
2709,"37","20","740","0.541","0.131","0.193","4.22","97","143","23","1"
2810,"32","106","3392","3.313","0.198","0.395","4.56","671","1341","147","1"
2853,"31","37","1147","1.194","0.189","0.555","2.07","217","637","105","1"
2943,"54","357","19278","6.611","0.324","0.644","6.22","6238","12422","1003","1"
3130,"11","48","528","4.364","0.237","0.39","7.35","125","206","17","1"
3219,"17","9","153","0.529","0.209","0.497","1.88","32","76","17","1"
3243,"86","67","5762","0.779","0.164","0.935","2.37","947","5386","399","1"
3368,"212","464","98368","2.189","0.052","0.07","11.84","5066","6884","428","1"
3388,"9","10","90","1.111","0.144","0.522","6.5","13","47","2","1"
3444,"7","9","63","1.286","0.143","0.238","9","9","15","1","1"
3445,"37","72","2664","1.946","0.12","0.257","7.64","321","685","42","1"
3470,"39","70","2730","1.795","0.09","0.255","7","245","697","35","1"
3517,"85","69","5865","0.812","0.165","0.441","1.44","969","2588","674","1"
3523,"7","15","105","2.143","0.114","0.295","2.4","12","31","5","1"
3525,"5","3","15","0.6","0.467","0.6","3.5","7","9","2","1"
3529,"6","9","54","1.5","0.148","0.296","4","8","16","2","1"
3531,"13","8","104","0.615","0.154","0.769","1.07","16","80","15","1"
3707,"53","48","2544","0.906","0.181","0.374","4.69","460","951","98","1"
3713,"21","4","84","0.19","0.31","0.643","3.71","26","54","7","1"
3724,"25","9","225","0.36","0.187","0.436","2.47","42","98","17","1"
3732,"52","48","2496","0.923","0.138","0.248","7.67","345","619","45","1"
4100,"83","315","26145","3.795","0.295","0.594","9.21","7725","15523","839","1"
4426,"48","402","19296","8.375","0.055","0.094","4.13","1058","1814","256","1"
4431,"45","79","3555","1.756","0.087","0.195","4.81","308","693","64","1"
4450,"12","146","1752","12.167","0.091","0.128","26.67","160","225","6","1"
4588,"47","286","13442","6.085","0.183","0.317","4.67","2459","4258","526","1"
4590,"36","96","3456","2.667","0.096","0.207","7.7","331","717","43","1"
4607,"14","19","266","1.357","0.113","0.504","30","30","134","1","1"
4609,"5","12","60","2.4","0.133","0.267","4","8","16","2","1"
4614,"6","5","30","0.833","0.233","0.633","1.75","7","19","4","1"
4616,"81","49","3969","0.605","0.113","0.398","2.26","449","1580","199","1"
4618,"8","1","8","0.125","0.875","1","7","7","8","1","1"
4794,"9","6","54","0.667","0.407","0.519","5.5","22","28","4","1"
4802,"13","5","65","0.385","0.123","0.538","8","8","35","1","1"
4810,"19","47","893","2.474","0.078","0.112","3.89","70","100","18","1"
4823,"4","11","44","2.75","0.159","0.932","1.75","7","41","4","1"
4884,"67","30","2010","0.448","0.169","0.46","2.26","339","924","150","1"
5098,"83","277","22991","3.337","0.18","0.365","6.86","4138","8387","603","1"
5134,"54","357","19278","6.611","0.299","0.655","6.4","5766","12626","901","1"
5281,"160","286","45760","1.788","0.201","0.226","55.42","9199","10347","166","1"
5369,"311","463","143993","1.489","0.088","0.16","3.93","12631","23092","3212","1"
5440,"83","314","26062","3.783","0.298","0.671","8.75","7772","17482","888","1"
5452,"197","198","39006","1.005","0.273","0.332","46.93","10654","12964","227","1"
5542,"306","465","142290","1.52","0.055","0.123","2.69","7861","17452","2925","1"
5724,"4","5","20","1.25","0.35","0.8","2.33","7","16","3","1"
5725,"4","7","28","1.75","0.286","1","2","8","28","4","1"
5726,"4","5","20","1.25","0.35","0.8","2.33","7","16","3","1"
5734,"100","49","4900","0.49","0.093","0.4","1.77","458","1958","259","1"
5735,"10","7","70","0.7","0.157","0.6","1.57","11","42","7","1"
5738,"6","6","36","1","0.194","0.417","3.5","7","15","2","1"
5739,"8","9","72","1.125","0.125","0.319","4.5","9","23","2","1"
5910,"10","12","120","1.2","0.208","0.583","1.67","25","70","15","1"
5914,"36","48","1728","1.333","0.143","0.437","3.58","247","755","69","1"
5932,"12","4","48","0.333","0.292","1","2","14","48","7","1"
6000,"68","34","2312","0.5","0.224","0.526","2.44","519","1215","213","1"
6002,"6","17","102","2.833","0.137","0.627","2.8","14","64","5","1"
6018,"16","29","464","1.813","0.144","0.496","2.58","67","230","26","1"
6316,"83","314","26062","3.783","0.282","0.619","8.77","7353","16139","838","1"
6377,"91","285","25935","3.132","0.158","0.165","113.89","4100","4287","36","1"
6424,"118","105","12390","0.89","0.052","0.105","3.33","642","1296","193","1"
6425,"158","167","26386","1.057","0.16","0.276","8.24","4213","7279","511","1"
