"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","Y"
3,"13","89","12","50","72","38","56","0","4","17","0","61","32","94","100","100","1"
10,"10","86","34","66","68","34","34","0","4","26","0","69","34","95","100","100","1"
13,"40","99","51","66","79","26","39","0","0","27","8","77","46","100","100","94","1"
34,"7","100","0","56","51","37","39","0","9","15","5","62","42","92","100","96","1"
52,"39","80","21","60","35","19","12","0","0","31","16","72","51","98","100","100","1"
64,"93","91","40","100","15","79","23","36","72","53","100","21","57","0","0","6","1"
87,"32","95","100","100","55","95","0","71","7","45","73","33","78","7","11","0","1"
97,"27","90","0","77","64","52","72","11","8","0","7","41","29","84","100","100","1"
102,"17","89","0","55","65","58","69","11","11","0","10","60","31","100","100","96","1"
109,"100","86","63","100","20","78","22","43","76","47","90","13","36","0","0","24","1"
138,"28","94","96","100","83","94","22","76","50","64","100","41","66","9","0","0","1"
146,"0","91","26","57","52","22","8","0","4","39","4","81","41","100","100","98","1"
151,"3","79","36","59","88","39","66","0","15","14","0","55","27","89","100","100","1"
156,"7","94","17","51","94","47","66","0","9","3","0","56","18","97","100","100","1"
183,"55","83","100","100","88","92","40","78","24","43","68","31","48","5","0","0","1"
185,"90","85","100","100","64","97","59","68","80","38","72","8","36","1","0","0","1"
198,"31","100","17","68","41","36","5","0","0","35","7","81","43","99","100","97","1"
282,"19","100","76","92","16","92","0","55","46","50","100","28","57","0","1","17","1"
285,"26","97","28","70","59","35","22","0","0","23","8","71","40","100","100","100","1"
296,"64","89","100","100","47","87","7","64","25","53","74","43","51","14","0","0","1"
298,"46","94","100","100","64","97","17","76","22","53","70","33","56","3","0","0","1"
316,"27","65","58","36","61","0","25","10","0","45","13","74","56","89","100","100","1"
330,"30","85","20","66","74","38","46","0","0","17","0","65","31","100","100","98","1"
343,"60","91","14","80","50","59","56","7","0","0","4","45","41","91","100","100","1"
354,"23","96","27","54","64","35","33","0","12","42","0","93","50","96","100","100","1"
368,"50","100","28","70","79","38","65","0","0","5","20","45","37","85","100","96","1"
381,"26","88","33","56","93","36","64","0","11","10","0","55","31","88","100","100","1"
387,"38","90","10","54","74","39","48","0","0","8","7","55","29","94","100","100","1"
389,"100","99","57","100","18","79","16","45","61","52","78","22","39","0","0","7","1"
393,"100","100","68","95","26","98","27","55","70","53","73","15","35","0","0","16","1"
413,"54","92","90","100","100","95","63","89","33","66","52","33","32","2","0","0","1"
443,"40","85","92","100","100","98","45","85","79","65","99","33","55","7","0","0","1"
460,"27","84","20","51","38","11","0","0","2","47","9","93","54","100","100","99","1"
464,"30","100","23","69","66","33","59","0","19","27","0","67","8","100","100","97","1"
466,"53","100","30","67","59","35","24","0","6","30","0","75","41","99","100","98","1"
487,"10","68","25","34","20","0","2","24","0","66","30","88","65","95","100","100","1"
496,"46","96","57","70","78","30","37","0","1","25","0","72","40","100","100","95","1"
498,"34","100","0","62","71","54","76","11","16","0","10","48","22","88","100","95","1"
502,"53","94","100","100","60","90","28","65","42","52","72","35","46","7","0","0","1"
504,"40","82","10","76","59","42","66","0","0","7","0","46","32","86","100","100","1"
509,"58","95","36","68","62","29","34","0","0","19","8","64","45","91","100","100","1"
518,"14","77","0","56","91","55","94","11","26","0","8","46","2","91","100","100","1"
526,"49","97","23","67","72","36","35","0","0","20","4","69","32","96","100","100","1"
560,"37","89","97","100","60","95","15","72","72","63","100","35","60","8","0","0","1"
579,"29","98","0","55","43","36","43","0","21","17","28","64","41","98","100","100","1"
584,"0","81","16","59","74","39","65","0","8","6","4","50","33","88","100","100","1"
589,"30","81","0","35","60","39","83","0","41","4","27","57","39","100","100","99","1"
596,"29","85","82","100","100","100","43","85","27","51","81","32","57","0","0","0","1"
601,"94","96","47","100","6","75","16","48","80","41","100","7","44","0","0","26","1"
623,"28","100","21","67","63","34","39","0","7","29","0","68","25","95","100","96","1"
632,"52","93","95","100","100","98","54","92","28","61","58","36","42","2","0","0","1"
638,"56","100","15","70","42","33","2","0","0","30","13","76","41","99","100","97","1"
654,"9","96","13","59","76","45","60","0","3","12","0","63","24","100","100","100","1"
672,"43","92","100","100","85","97","19","90","55","66","90","37","64","8","0","0","1"
680,"15","91","23","65","92","46","68","0","10","14","0","63","7","97","100","100","1"
694,"79","90","61","100","26","73","44","60","97","50","100","17","51","0","0","8","1"
708,"6","88","29","51","82","40","56","0","15","19","0","67","40","95","100","100","1"
718,"39","90","95","100","100","99","45","86","64","72","91","43","53","13","0","0","1"
720,"31","86","95","100","66","95","10","77","56","63","100","44","62","15","0","0","1"
734,"98","100","36","99","0","69","30","52","89","49","100","4","42","0","9","36","1"
737,"66","92","100","100","85","91","46","72","50","43","83","24","46","3","0","0","1"
761,"34","91","100","100","71","96","18","75","38","60","89","46","61","16","0","0","1"
775,"6","88","8","57","48","28","23","0","5","32","0","73","41","97","100","100","1"
820,"36","95","9","55","73","58","54","11","0","0","10","52","29","99","100","100","1"
825,"21","52","0","48","39","50","100","51","68","0","26","29","8","83","85","100","1"
826,"17","93","25","64","45","25","5","0","0","42","5","96","53","100","100","100","1"
832,"26","91","0","59","33","44","53","10","15","0","22","51","39","95","100","100","1"
867,"72","96","100","100","57","95","31","65","49","51","67","29","39","0","0","3","1"
869,"43","89","25","59","76","31","41","0","0","21","6","65","33","100","100","99","1"
880,"81","96","39","100","13","71","13","39","76","44","100","16","44","0","0","6","1"
895,"40","91","94","100","68","97","31","73","44","40","100","27","60","6","0","0","1"
899,"16","93","32","55","61","19","34","0","1","34","0","76","45","100","100","96","1"
906,"20","90","15","66","37","18","7","0","0","45","15","95","58","100","100","87","1"
929,"44","89","97","100","76","93","36","67","88","60","100","29","57","6","0","0","1"
940,"18","100","5","72","45","55","51","5","0","0","8","60","40","99","100","95","1"
947,"54","92","100","100","56","89","18","66","48","52","82","34","49","8","0","0","1"
949,"46","90","100","99","100","100","46","94","12","69","53","40","50","6","0","0","1"
973,"57","100","100","100","53","91","22","66","67","48","91","20","50","0","0","8","1"
975,"31","94","100","100","66","96","5","79","0","50","69","37","92","10","22","0","1"
976,"60","91","0","85","19","37","82","27","31","0","3","30","40","74","100","100","1"
1036,"21","98","97","100","60","98","7","71","26","50","100","37","78","8","0","0","1"
1045,"54","88","100","100","85","94","38","80","59","59","83","29","47","1","0","0","1"
1046,"42","87","100","100","80","96","30","77","52","62","94","45","57","15","0","0","1"
1131,"5","89","0","54","40","35","45","0","11","22","9","70","44","96","100","100","1"
1145,"37","93","94","100","73","95","30","75","39","41","100","29","63","4","0","0","1"
1182,"38","77","86","97","100","100","41","92","23","56","80","44","56","12","0","0","1"
1187,"39","96","2","70","53","38","63","0","0","10","6","55","31","94","100","100","1"
1206,"49","90","32","57","61","23","5","0","0","35","9","79","34","100","100","99","1"
1223,"23","75","20","52","49","17","17","0","0","43","9","78","53","92","100","100","1"
1230,"37","83","77","100","14","95","2","68","52","46","100","23","58","0","0","0","1"
1232,"54","87","72","100","100","100","69","100","42","84","44","45","28","10","0","0","1"
1236,"32","89","19","53","73","37","53","0","0","17","7","65","39","100","100","98","1"
1237,"9","88","10","49","62","40","30","0","0","22","0","73","40","97","100","100","1"
1253,"39","86","6","89","39","47","53","0","0","6","10","59","42","96","100","100","1"
1272,"37","100","14","55","84","61","100","20","38","0","2","43","0","83","72","87","1"
1277,"37","100","16","60","63","42","31","0","3","19","0","75","47","90","100","97","1"
1279,"27","100","18","65","52","36","20","0","0","27","6","77","45","95","100","96","1"
1281,"15","88","22","69","86","46","68","0","0","6","4","62","25","94","100","100","1"
1290,"34","96","46","53","36","12","0","0","2","47","28","77","63","92","100","100","1"
1306,"20","92","10","51","68","47","45","0","2","9","0","67","39","97","100","100","1"
1311,"70","89","34","67","71","37","51","2","0","0","23","45","49","88","100","100","1"
1321,"38","83","0","58","41","32","32","0","13","24","13","64","35","97","100","100","1"
1336,"8","73","0","61","63","35","74","0","6","6","7","51","25","91","100","100","1"
1343,"15","89","0","68","87","69","86","25","21","0","4","45","8","86","100","100","1"
1354,"15","89","34","53","50","13","4","0","0","43","0","87","48","98","100","100","1"
1392,"32","96","70","100","12","95","32","66","89","62","100","22","51","0","0","16","1"
1426,"24","100","31","56","45","16","16","0","0","43","15","81","57","87","100","88","1"
1434,"29","94","91","100","60","92","34","70","72","65","100","31","60","0","0","13","1"
1435,"28","86","38","57","91","37","57","1","0","0","8","62","42","98","100","100","1"
1441,"100","91","75","100","47","79","39","45","73","40","78","13","41","0","0","0","1"
1446,"47","91","28","66","70","32","98","0","40","11","2","47","0","81","100","100","1"
1453,"61","92","100","100","74","85","55","51","92","36","78","2","38","0","0","11","1"
1455,"38","92","96","100","65","92","30","63","65","48","100","24","58","0","0","5","1"
1458,"100","100","60","99","27","83","15","52","47","44","76","26","42","7","0","0","1"
1468,"22","86","100","100","32","97","0","69","13","59","92","55","86","19","15","0","1"
1474,"21","98","27","71","57","35","27","0","6","22","0","60","21","95","100","100","1"
1476,"65","95","100","100","45","82","47","73","94","59","87","25","39","0","0","8","1"
1510,"22","96","26","53","81","46","60","0","21","23","0","73","42","95","100","100","1"
1520,"100","97","64","100","35","79","29","42","74","44","82","17","43","0","0","3","1"
1530,"100","97","75","100","45","86","44","59","75","44","69","18","35","6","0","0","1"
1542,"11","78","0","56","53","41","46","0","3","10","4","70","46","100","100","94","1"
1567,"29","87","92","100","94","98","34","81","36","45","100","37","64","7","0","0","1"
1568,"8","95","26","71","82","45","55","0","0","12","0","65","28","100","100","98","1"
1596,"100","92","61","100","31","80","20","42","58","44","73","20","38","1","0","0","1"
1614,"6","95","88","100","34","98","6","74","43","62","100","38","75","0","0","13","1"
1630,"100","100","55","100","22","89","0","59","35","61","69","44","54","12","13","0","1"
1647,"38","92","100","100","52","94","15","58","69","72","94","35","58","0","0","2","1"
1648,"100","100","63","98","38","91","42","66","77","56","60","34","30","16","0","0","1"
1667,"22","91","3","65","65","51","54","0","0","2","9","55","28","100","100","99","1"
1678,"63","90","100","100","62","84","42","58","82","46","79","17","42","3","0","0","1"
1683,"25","92","29","62","86","43","56","3","0","0","8","53","38","94","100","100","1"
1686,"29","100","30","64","62","30","20","0","1","31","0","77","41","93","100","95","1"
1716,"100","96","62","100","33","83","26","45","57","42","75","19","40","0","0","1","1"
1731,"24","96","19","69","58","30","16","0","2","42","0","90","52","100","100","94","1"
1758,"21","67","27","49","39","21","0","0","12","28","26","59","48","88","100","100","1"
1760,"21","89","13","64","67","42","42","0","0","17","5","68","34","100","100","97","1"
1761,"100","97","74","100","42","89","31","56","59","39","67","10","34","0","0","0","1"
1772,"56","91","100","100","51","86","16","58","66","62","81","29","49","0","0","0","1"
1777,"100","93","66","100","40","81","39","51","76","45","72","14","37","0","0","4","1"
1792,"47","89","33","69","100","51","83","10","14","0","0","44","9","90","81","100","1"
1796,"22","92","17","53","63","30","27","0","0","17","14","64","46","98","100","100","1"
1798,"69","91","100","100","54","83","25","54","73","62","88","31","57","4","0","0","1"
1842,"1","100","0","58","70","42","59","0","10","10","0","64","27","94","100","94","1"
1846,"100","98","60","100","19","89","2","58","49","55","71","28","45","1","0","0","1"
1857,"31","100","17","68","64","37","43","0","10","21","0","74","39","100","100","98","1"
1887,"30","91","1","68","54","50","44","0","0","9","11","64","41","100","100","99","1"
1888,"45","85","34","63","100","53","71","9","3","0","0","50","4","97","79","100","1"
1894,"100","93","68","100","40","91","56","74","88","63","63","39","31","20","0","0","1"
1902,"100","99","69","100","39","78","45","54","87","45","78","18","41","0","0","1","1"
1903,"19","91","9","66","63","43","42","0","0","12","11","64","34","100","100","97","1"
1931,"24","100","25","58","64","36","45","0","13","23","0","65","44","90","100","100","1"
1950,"36","96","29","73","71","46","47","0","0","7","15","60","41","99","100","100","1"
2007,"43","100","13","73","54","39","39","0","0","7","13","61","46","100","100","100","1"
2011,"17","87","12","65","64","43","52","0","0","14","4","61","35","97","100","100","1"
2016,"49","100","54","67","95","32","47","0","4","11","0","58","31","94","100","94","1"
2022,"52","100","18","64","48","36","11","0","0","19","8","67","41","97","100","98","1"
2071,"31","96","0","55","57","54","64","6","20","0","22","61","39","99","100","100","1"
2075,"22","99","0","54","50","55","56","0","14","2","22","66","48","100","100","96","1"
2091,"54","89","100","100","71","91","42","64","63","50","83","27","49","2","0","0","1"
2101,"53","92","16","64","76","40","39","0","0","7","7","54","23","98","100","100","1"
2133,"0","82","9","59","56","34","41","0","10","30","3","67","42","96","100","100","1"
2150,"26","93","17","75","65","46","44","0","0","18","21","70","42","98","100","100","1"
2166,"46","81","15","59","51","32","31","0","0","8","14","56","50","90","100","100","1"
2172,"24","92","81","100","26","79","19","54","83","66","100","34","62","4","0","0","1"
2180,"28","83","6","56","73","48","83","10","15","0","0","42","32","90","100","100","1"
2182,"45","90","13","52","88","46","74","5","0","0","4","43","26","90","100","100","1"
2186,"3","91","61","100","47","97","5","74","48","52","100","32","56","12","0","0","1"
2187,"100","100","65","100","40","89","40","62","74","51","63","30","30","17","0","0","1"
2207,"41","96","17","76","50","37","31","0","0","34","1","86","49","98","100","100","1"
2214,"21","88","0","57","88","58","88","18","15","0","8","42","12","83","100","100","1"
2229,"26","74","19","49","64","21","20","0","1","25","0","64","45","87","100","100","1"
2230,"14","100","1","54","51","47","36","0","0","14","6","71","42","93","100","97","1"
2232,"24","100","14","55","72","52","54","0","8","2","0","58","35","95","100","99","1"
2243,"12","73","29","62","66","32","29","0","5","29","0","71","38","96","100","100","1"
2248,"27","92","22","53","58","28","18","0","0","32","13","85","50","98","100","100","1"
2262,"43","100","98","96","77","97","37","70","60","53","100","20","47","0","0","14","1"
2264,"43","99","8","68","73","74","62","25","0","0","7","49","20","96","100","100","1"
2266,"21","100","12","66","64","49","52","0","10","16","0","72","43","94","100","94","1"
2288,"0","87","9","47","80","54","80","7","24","0","2","50","25","91","100","100","1"
2289,"100","95","68","100","34","98","19","61","53","61","61","20","31","2","0","0","1"
2297,"12","83","8","54","56","31","22","0","4","24","0","63","37","94","100","100","1"
2338,"54","92","5","69","51","52","50","3","0","0","12","43","45","86","100","100","1"
2377,"56","86","100","100","64","92","18","73","48","62","81","38","50","7","0","0","1"
2386,"41","91","100","100","99","99","45","86","40","57","89","39","57","9","0","0","1"
2393,"7","96","18","69","68","41","46","0","11","25","0","71","29","96","100","100","1"
2399,"55","96","14","68","48","40","19","0","0","18","6","73","47","100","100","96","1"
2447,"27","95","14","59","70","43","59","0","0","10","6","56","30","96","100","100","1"
2467,"100","90","78","100","31","88","22","57","61","52","83","28","51","4","0","0","1"
2482,"12","60","37","36","41","0","15","2","0","42","27","66","63","84","100","100","1"
2485,"11","80","0","54","47","32","36","0","11","24","3","62","46","87","100","100","1"
2487,"25","84","56","54","47","17","5","0","0","35","10","72","52","90","100","100","1"
2546,"46","83","41","52","38","15","0","0","18","32","36","65","59","87","100","100","1"
2570,"51","94","100","100","48","91","6","66","42","50","87","28","60","5","0","0","1"
2593,"31","81","54","46","51","6","7","0","0","42","13","84","55","96","100","100","1"
2619,"49","84","49","62","48","22","7","0","0","30","9","72","53","90","100","100","1"
2622,"22","79","30","53","54","24","32","0","13","42","0","86","49","96","100","100","1"
2632,"17","91","24","72","59","40","29","0","5","33","0","90","49","96","100","100","1"
2634,"1","92","0","63","36","33","14","0","3","37","5","81","50","96","100","100","1"
2658,"33","83","4","65","73","52","61","7","0","0","6","51","26","95","100","100","1"
2667,"42","94","12","60","56","33","33","0","0","20","13","71","48","100","100","96","1"
2688,"24","91","10","69","65","40","46","0","0","11","8","57","29","98","100","100","1"
2694,"36","93","98","100","43","98","8","72","65","55","100","26","63","1","0","0","1"
2702,"40","99","5","63","46","41","9","0","0","34","1","86","37","100","100","96","1"
2725,"32","87","26","62","65","29","45","0","19","35","0","75","30","100","100","100","1"
2747,"42","96","100","100","80","98","32","76","58","60","86","28","48","0","0","14","1"
2761,"2","71","32","61","100","44","100","0","29","5","0","50","23","89","98","100","1"
2768,"0","77","40","64","54","28","43","0","27","36","13","72","49","96","100","100","1"
2770,"42","100","0","66","61","57","64","12","19","0","15","47","30","90","100","96","1"
2776,"100","100","54","100","17","85","15","50","55","47","85","22","50","0","0","6","1"
2788,"39","96","24","64","43","28","0","0","7","45","15","93","46","100","100","100","1"
2802,"40","93","100","100","62","94","7","79","42","64","90","39","61","10","0","0","1"
2840,"38","85","0","59","48","53","68","18","22","0","24","50","37","94","100","100","1"
2869,"13","87","41","62","93","44","78","0","28","15","0","62","39","92","100","100","1"
2888,"25","92","20","41","67","47","55","0","20","30","0","76","43","100","100","99","1"
