"X1","X2","Y"
148,50,0
187,34,0
290,-57,0
194,-80,0
204,89,0
196,-81,0
201,-17,0
289,4,0
116,-95,0
199,38,0
174,33,0
277,78,0
152,-97,0
288,-84,0
133,34,0
258,1,0
280,6,0
121,-38,0
180,61,0
116,56,0
216,387,0
139,332,0
292,238,0
201,354,0
114,308,0
188,227,0
268,287,0
203,251,0
165,238,0
189,224,0
119,211,0
186,290,0
237,287,0
135,398,0
141,274,0
184,340,0
114,213,0
153,307,0
182,269,0
227,342,0
171,662,0
218,598,0
246,651,0
298,540,0
155,586,0
150,603,0
222,598,0
195,695,0
183,604,0
184,600,0
201,510,0
291,667,0
145,647,0
245,690,0
270,588,0
265,671,0
126,551,0
107,671,0
131,510,0
112,673,0
121,948,0
291,867,0
140,846,0
185,849,0
168,811,0
161,977,0
226,922,0
288,868,0
267,898,0
177,825,0
171,886,0
277,816,0
113,870,0
267,850,0
211,881,0
274,931,0
114,805,0
178,934,0
151,978,0
268,858,0
213,1298,0
272,1211,0
238,1169,0
290,1202,0
291,1166,0
108,1133,0
299,1182,0
250,1182,0
172,1245,0
202,1159,0
284,1117,0
125,1263,0
106,1103,0
184,1133,0
213,1253,0
266,1177,0
242,1245,0
257,1215,0
179,1137,0
233,1102,0
430,161,1
427,22,1
465,691,1
270,-194,1
-56,665,1
373,-19,1
29,275,1
-42,469,1
-80,1015,1
-35,504,1
341,1039,1
401,-154,1
400,151,1
-11,-36,1
421,354,1
198,-193,1
59,830,1
473,252,1
65,925,1
213,-169,1
-63,211,1
36,1272,1
116,421,1
209,747,1
450,815,1
14,439,1
201,1340,1
71,1313,1
388,850,1
158,-221,1
429,1254,1
262,1481,1
114,776,1
196,-205,1
315,451,1
-30,498,1
38,28,1
73,545,1
313,36,1
-17,429,1
398,883,1
331,-172,1
367,1088,1
169,-176,1
461,1093,1
275,1319,1
82,679,1
288,-101,1
88,1342,1
222,-238,1
417,665,1
377,-202,1
30,745,1
-58,1126,1
5,178,1
181,775,1
-63,199,1
58,566,1
106,465,1
270,1095,1
35,848,1
42,644,1
24,1013,1
113,451,1
378,397,1
329,92,1
386,90,1
243,-170,1
408,-23,1
482,815,1
293,-235,1
16,303,1
65,196,1
439,454,1
387,630,1
12,872,1
26,906,1
47,-262,1
455,122,1
423,1105,1
353,-14,1
215,1367,1
9,1134,1
446,-166,1
443,-116,1
226,1439,1
156,-270,1
137,408,1
52,439,1
449,896,1
-5,343,1
299,1081,1
50,494,1
360,409,1
334,441,1
-42,890,1
201,733,1
396,211,1
469,1043,1
97,192,1
3,1336,1
0,593,1
382,280,1
-28,-281,1
390,439,1
208,-200,1
-19,688,1
-50,81,1
38,418,1
-81,1327,1
420,468,1
466,1075,1
321,472,1
3,-204,1
-84,726,1
-24,749,1
119,419,1
477,306,1
-37,1358,1
309,1207,1
321,1104,1
241,130,1
-2,-194,1
377,-126,1
-43,838,1
339,246,1
57,880,1
257,168,1
54,616,1
-53,-211,1
361,-175,1
92,925,1
464,-102,1
262,1049,1
399,668,1
234,124,1
124,1458,1
9,1417,1
448,269,1
467,884,1
-13,63,1
469,772,1
42,-233,1
475,119,1
33,155,1
385,300,1
33,-4,1
368,329,1
82,1391,1
150,1342,1
276,1419,1
18,-267,1
388,914,1
171,498,1
-50,978,1
79,-182,1
361,795,1
338,225,1
196,434,1
468,170,1
304,-153,1
419,595,1
127,410,1
155,1303,1
394,1319,1
321,1459,1
101,-279,1
422,204,1
316,727,1
56,1404,1
397,651,1
220,195,1
352,1263,1
-13,20,1
306,675,1
176,-220,1
426,638,1
82,749,1
359,435,1
481,240,1
188,-194,1
-81,957,1
308,773,1
57,1224,1
157,1478,1
401,-173,1
230,121,1
115,773,1
422,25,1
95,343,1
147,445,1
66,621,1
393,955,1
451,525,1
274,774,1
454,679,1
387,1237,1
388,1156,1
457,348,1
332,485,1
267,1095,1
11,207,1
35,935,1
434,419,1
-24,-165,1
452,529,1
306,1169,1
248,708,1
325,1332,1
437,800,1
15,1212,1
28,558,1
-63,786,1
-51,1014,1
414,57,1
367,288,1
360,156,1
4,0,1
326,1213,1
470,1466,1
305,-167,1
445,1422,1
-8,-3,1
-18,1422,1
99,-93,1
41,472,1
-47,-73,1
403,1433,1
-51,1371,1
191,423,1
151,141,1
310,1135,1
479,771,1
421,666,1
249,1452,1
6,416,1
353,634,1
464,10,1
402,740,1
417,999,1
361,699,1
432,813,1
334,993,1
466,80,1
329,375,1
94,1439,1
314,846,1
-37,701,1
4,769,1
438,163,1
415,-235,1
342,314,1
36,978,1
467,910,1
203,-208,1
70,804,1
460,-81,1
453,-191,1
427,148,1
304,418,1
445,712,1
210,1414,1
325,705,1
-75,773,1
451,948,1
0,1255,1
122,763,1
371,-94,1
-62,1022,1
56,436,1
477,1210,1
79,-9,1
98,791,1
327,277,1
11,183,1
-66,1405,1
369,-246,1
151,113,1
407,1280,1
201,1026,1
365,1443,1
-47,-257,1
447,515,1
85,-3,1
420,1116,1
-54,751,1
74,91,1
-30,793,1
310,-227,1
344,-282,1
304,39,1
388,205,1
464,812,1
6,950,1
332,557,1
355,-164,1
328,809,1
342,595,1
363,1433,1
348,242,1
483,1297,1
22,576,1
1,648,1
439,191,1
