@relation 03subcl5-800-7-70-BI
@attribute dim1 real[-84.0,482.0]
@attribute dim2 real[-282.0,1483.0]
@attribute class{0,1}
@inputs dim1, dim2
@outputs class
@data
223,763,0
187,34,0
290,-57,0
59,-67,0
204,89,0
141,473,0
201,733,0
69,1074,0
116,-95,0
199,38,0
58,566,0
332,485,0
152,-97,0
133,471,0
333,1300,0
258,1,0
69,879,0
121,-38,0
168,789,0
316,727,0
76,1221,0
354,136,0
55,402,0
323,1296,0
358,91,0
116,421,0
114,1011,0
339,246,0
290,1011,0
189,224,0
119,211,0
224,427,0
86,1171,0
135,398,0
215,149,0
55,228,0
297,426,0
308,773,0
288,1016,0
227,342,0
88,-36,0
358,1233,0
265,1057,0
96,-108,0
304,-153,0
150,603,0
191,423,0
84,-1,0
150,1342,0
59,249,0
201,510,0
79,566,0
65,196,0
76,361,0
270,588,0
331,221,0
199,1033,0
107,671,0
235,147,0
166,756,0
121,948,0
345,663,0
321,472,0
179,1308,0
53,1176,0
335,695,0
315,451,0
360,156,0
344,1222,0
177,825,0
309,1207,0
344,140,0
113,870,0
82,749,0
211,881,0
274,931,0
114,805,0
178,934,0
255,738,0
328,960,0
213,1298,0
55,768,0
238,1169,0
290,1202,0
295,714,0
87,310,0
83,564,0
87,182,0
95,-46,0
202,1159,0
144,1349,0
223,1331,0
341,1039,0
353,-14,0
213,1253,0
266,1177,0
179,494,0
257,1215,0
138,463,0
276,741,0
210,1423,1
9,1229,1
327,1102,1
231,1323,1
268,446,1
326,512,1
412,1018,1
326,307,1
78,1430,1
32,1005,1
469,956,1
-5,-137,1
254,1341,1
58,1270,1
-69,1043,1
321,381,1
103,1431,1
362,611,1
-60,199,1
265,1410,1
-19,1388,1
-55,1308,1
54,927,1
141,1363,1
461,990,1
233,-253,1
255,1383,1
311,-20,1
410,359,1
-24,-213,1
335,529,1
264,156,1
146,1462,1
396,226,1
3,285,1
95,17,1
65,-226,1
458,536,1
-72,450,1
42,1245,1
418,605,1
336,1116,1
471,822,1
185,-166,1
-76,1370,1
5,792,1
18,571,1
365,-188,1
35,-114,1
-66,712,1
76,905,1
-3,1049,1
-84,720,1
19,1187,1
72,1421,1
312,1012,1
185,1085,1
-46,415,1
266,1044,1
467,1064,1
84,1483,1
423,51,1
81,1345,1
67,1408,1
-7,1311,1
337,23,1
475,1234,1
458,-242,1
113,-143,1
0,256,1
42,159,1
-64,-230,1
2,-37,1
418,454,1
43,207,1
77,-128,1
456,713,1
-30,561,1
291,-189,1
126,1339,1
345,-83,1
92,194,1
9,486,1
479,1383,1
-27,367,1
-47,1126,1
11,-265,1
262,788,1
344,1461,1
6,836,1
169,-144,1
463,1265,1
429,742,1
448,1331,1
-6,522,1
387,901,1
-17,710,1
375,-243,1
199,1468,1
428,6,1
248,725,1
480,1442,1
329,1228,1
21,757,1
381,1185,1
62,1333,1
111,1448,1
81,195,1
358,583,1
440,315,1
24,849,1
-9,639,1
28,508,1
-13,-100,1
-6,807,1
435,227,1
316,56,1
421,343,1
395,1287,1
298,130,1
369,819,1
-52,-108,1
23,972,1
-68,1352,1
84,779,1
156,1011,1
201,1057,1
-74,511,1
350,1320,1
188,1348,1
341,852,1
231,-163,1
58,328,1
309,1142,1
244,1342,1
302,1046,1
156,702,1
-19,349,1
1,-219,1
69,714,1
305,450,1
10,974,1
447,506,1
296,791,1
246,1395,1
93,807,1
162,1385,1
316,1410,1
-21,1222,1
-12,370,1
316,645,1
478,1087,1
418,207,1
393,743,1
77,210,1
385,-93,1
364,207,1
462,1335,1
31,974,1
236,402,1
459,-281,1
482,717,1
317,1300,1
376,1007,1
61,790,1
167,133,1
370,1411,1
313,947,1
-37,-121,1
198,1017,1
467,-226,1
-42,-60,1
207,1355,1
464,1083,1
73,895,1
260,187,1
305,77,1
315,866,1
30,1421,1
115,426,1
17,1196,1
169,-199,1
-13,511,1
93,29,1
296,411,1
391,1411,1
443,656,1
412,634,1
7,269,1
463,-206,1
378,178,1
479,-206,1
-83,687,1
472,1103,1
378,6,1
23,541,1
415,1216,1
155,487,1
221,1052,1
475,1278,1
9,-23,1
424,590,1
437,1366,1
424,1319,1
-39,660,1
311,1085,1
-7,1231,1
311,-13,1
149,426,1
336,930,1
100,1337,1
-76,1185,1
122,752,1
-63,391,1
392,1436,1
434,198,1
461,1401,1
452,-160,1
260,-144,1
400,48,1
56,812,1
-39,639,1
92,1248,1
-22,452,1
467,41,1
-13,778,1
63,652,1
453,1365,1
-39,225,1
38,991,1
52,843,1
396,784,1
5,169,1
423,1374,1
2,1345,1
80,417,1
45,167,1
-53,1405,1
-63,774,1
54,1159,1
254,-247,1
-17,-205,1
-81,142,1
28,1366,1
120,-166,1
-42,-29,1
410,-134,1
-10,120,1
140,1327,1
450,-27,1
16,1002,1
-32,719,1
355,765,1
279,1347,1
-64,614,1
482,849,1
102,464,1
432,103,1
119,1031,1
-48,923,1
402,614,1
430,949,1
355,1457,1
-36,-53,1
58,865,1
326,274,1
-51,929,1
263,466,1
-68,1298,1
78,-2,1
200,1391,1
77,1327,1
-52,507,1
410,-216,1
121,1030,1
234,1356,1
401,166,1
12,-146,1
408,523,1
21,1151,1
