SepalLength, SepalWidth, PetalLength, PetalWidth,Class
5.0, 3.4, 1.5, 0.2, Iris-setosa
5.718742367024241, 2.1934934162053965, 1.4, 0.1, Iris-setosa
5.1, 3.7, 4.004582019640268, 0.4, Iris-setosa
4.8, 2.3496682106400066, 1.6, 1.8549737973499518, Iris-setosa
5.5, 4.2, 1.4, 0.2, Iris-setosa
5.1, 3.4, 1.5, 0.2, Iris-setosa
4.8, 3.0, 6.118155488818455, 0.3, Iris-setosa
5.9762825278742895, 3.2, 1.4, 0.2, Iris-setosa
5.3, 3.7, 6.825542522367449, 0.17851000467280626, Iris-setosa
4.995026640848961, 2.259580358550786, 4.0, 1.3, Iris-versicolor
6.3, 3.3, 4.7, 1.6, Iris-versicolor
4.9, 2.4, 3.3, 1.9139143106094363, Iris-versicolor
6.0, 2.7520636839680526, 4.0, 1.0, Iris-versicolor
6.1, 2.0608969807766604, 5.204390208191329, 0.832580227202871, Iris-versicolor
6.1, 3.994336892569982, 4.7, 1.2, Iris-versicolor
6.4, 2.9, 4.3, 0.40481243848447046, Iris-versicolor
6.947927710471658, 2.6, 3.5, 1.0, Iris-versicolor
5.5, 2.4, 3.7, 1.0, Iris-versicolor
6.7, 3.1, 4.7, 1.5, Iris-versicolor
6.98531443939668, 3.0, 3.5469708783195752, 2.2, Iris-virginica
7.3, 2.9, 1.3286562454720625, 1.8, Iris-virginica
6.5, 3.2, 5.1, 2.0, Iris-virginica
6.7, 3.3, 5.7, 2.1, Iris-virginica
6.7902762605087545, 3.2, 6.0, 1.8, Iris-virginica
6.3, 2.8, 5.1, 1.5, Iris-virginica
6.5, 3.0, 5.2, 2.0, Iris-virginica
6.2, 3.4, 5.4, 2.3837150331315855, Iris-virginica
5.9, 3.0, 5.1, 1.8, Iris-virginica
4.7, 3.2, 1.3, 0.2, Iris-setosa
6.9, 3.2, 5.7, 2.3, Iris-virginica
5.1, 3.5, 1.4, 2.1887905298938954, Iris-setosa
4.6, 4.193977664735629, 1.5, 0.2, Iris-setosa
4.4, 2.9, 1.4, 0.2, Iris-setosa
5.4, 3.4, 1.7, 0.2, Iris-setosa
4.6, 3.6, 1.0, 0.1712511390613511, Iris-setosa
4.728494734696228, 3.4, 1.6, 0.4, Iris-setosa
6.917580997342612, 3.2, 1.6, 0.2, Iris-setosa
5.4, 3.4, 2.2420017382460653, 0.4, Iris-setosa
5.0, 3.2425674620183575, 1.4, 0.2, Iris-setosa
7.0, 4.222314304444547, 4.7, 1.4, Iris-versicolor
6.4, 3.2, 4.5, 1.5, Iris-versicolor
5.6, 3.0862829456772385, 4.5, 1.5, Iris-versicolor
6.3, 2.5, 4.9, 1.3603011819674404, Iris-versicolor
7.285623751530802, 3.0, 4.4, 1.4, Iris-versicolor
6.3, 2.3, 4.4, 1.3, Iris-versicolor
5.5, 2.6, 4.4, 0.4056271499734435, Iris-versicolor
5.0, 2.3, 3.3, 1.0, Iris-versicolor
7.1, 2.780571398320741, 5.9, 2.1, Iris-virginica
6.8, 3.0, 5.5, 2.1, Iris-virginica
5.8, 2.8, 2.26501614033827, 1.6139971053027542, Iris-virginica
6.606337391097643, 2.7, 3.9993437962837852, 1.8, Iris-virginica
6.1, 3.0, 5.649316849105367, 1.8, Iris-virginica
7.094554905871524, 2.8, 5.6, 2.1, Iris-virginica
6.4, 3.5305373288529314, 4.834672701017622, 2.2, Iris-virginica
7.7, 3.0, 6.1, 2.3, Iris-virginica
6.4, 3.1, 4.595698620657366, 1.8, Iris-virginica
5.710792893779183, 3.0, 4.8, 1.8, Iris-virginica
5.8, 4.0, 1.2, 1.4157212578960978, Iris-setosa
6.6, 2.9, 4.6, 1.3, Iris-versicolor
6.8, 2.8, 4.8, 1.4, Iris-versicolor
4.9, 3.0, 1.4, 0.2, Iris-setosa
5.4, 3.9, 1.7, 0.3894104242998665, Iris-setosa
4.3, 3.0, 1.1, 1.1827389199945002, Iris-setosa
5.7, 4.4, 1.5, 0.4, Iris-setosa
5.1, 2.2698481027665194, 1.7, 0.5, Iris-setosa
5.0, 2.6389466048774652, 4.7033262525227215, 0.2, Iris-setosa
5.2, 4.1, 1.5, 0.1, Iris-setosa
5.0, 3.2, 1.2, 0.2, Iris-setosa
4.993490574111577, 3.5, 1.3, 0.2, Iris-setosa
5.835317557848831, 3.5, 3.2314659016745786, 0.3, Iris-setosa
6.9, 3.1, 1.0474730170442428, 1.5, Iris-versicolor
5.8, 2.7, 4.1, 1.0, Iris-versicolor
6.2, 2.2, 4.5, 1.5, Iris-versicolor
6.7, 3.0, 5.0, 1.7, Iris-versicolor
5.8, 2.7, 3.9, 0.2581064945454957, Iris-versicolor
6.358226850363013, 2.7, 5.1, 1.6, Iris-versicolor
5.6, 2.7, 4.128138966445843, 1.3, Iris-versicolor
5.7, 2.9, 4.2, 1.3, Iris-versicolor
6.3, 3.3, 1.1156946087525446, 2.5, Iris-virginica
5.8, 2.105125923479238, 5.1, 1.9161428317930882, Iris-virginica
6.4, 2.7, 5.3, 1.5496242135413048, Iris-virginica
6.4, 3.2, 5.3, 2.3, Iris-virginica
7.7, 3.8, 6.7, 2.2, Iris-virginica
5.439067181558131, 3.8076781645900755, 4.9, 2.0, Iris-virginica
6.1, 2.6, 5.6, 1.4, Iris-virginica
6.523898192454106, 4.248934600839609, 5.098941540531568, 2.3, Iris-virginica
6.0, 3.3131320684480325, 4.5, 1.5, Iris-versicolor
6.0, 3.4, 4.5, 1.6, Iris-versicolor
6.5, 3.0, 5.5, 1.8, Iris-virginica
6.251739341195613, 2.8, 4.8, 0.37045400819518925, Iris-virginica
5.0, 3.6, 6.3856040665380664, 0.2, Iris-setosa
5.6877174523164795, 3.4, 1.6, 0.2, Iris-setosa
5.4, 3.9, 1.3, 0.4, Iris-setosa
5.1, 3.5, 1.4, 0.3, Iris-setosa
4.8, 3.4, 1.9, 0.2, Iris-setosa
5.2, 3.5, 1.5, 0.2, Iris-setosa
5.2, 3.4, 1.4, 0.2, Iris-setosa
5.513154230269873, 2.3, 1.3, 0.3, Iris-setosa
5.1, 3.8, 1.9, 0.4, Iris-setosa
6.1, 2.9, 5.06562977010981, 1.4, Iris-versicolor
5.6, 2.613043112636787, 3.6, 1.3, Iris-versicolor
6.7, 3.1, 4.4, 1.4, Iris-versicolor
7.114635735567342, 2.5, 3.9, 1.9231209505868891, Iris-versicolor
7.487918275591898, 3.2, 6.0543221843089725, 1.8, Iris-versicolor
5.4, 3.0, 6.018331304452925, 1.5, Iris-versicolor
6.1, 3.0, 4.6, 1.2417442153072322, Iris-versicolor
5.8, 4.3658857339913695, 4.0, 2.0962888254775405, Iris-versicolor
7.656446363906481, 3.0, 4.2, 1.2, Iris-versicolor
6.2, 2.34776184343448, 4.3, 1.3, Iris-versicolor
7.6, 3.0, 6.6, 2.1232747136669405, Iris-virginica
5.61907777649329, 2.5, 4.776150483702345, 1.7, Iris-virginica
6.7, 3.467183297096562, 1.2366002896653023, 1.8, Iris-virginica
7.7, 4.031064800273409, 6.7, 2.0245862315233296, Iris-virginica
6.3, 3.4, 5.6, 2.4, Iris-virginica
6.9, 3.1, 5.4, 2.1, Iris-virginica
6.7, 3.1, 5.6, 2.4, Iris-virginica
6.8, 2.6388198688251014, 5.9, 2.3, Iris-virginica
6.7, 3.3, 5.7, 1.8454130566086184, Iris-virginica
4.4, 3.2, 1.3, 0.2, Iris-setosa
6.0, 2.2, 5.0, 1.5, Iris-virginica
4.6, 3.4, 1.4, 0.48705070586573584, Iris-setosa
5.4, 4.143075584374153, 1.5, 0.2, Iris-setosa
5.7, 3.8, 1.7, 0.3, Iris-setosa
5.1, 4.219546057428127, 1.5, 0.3, Iris-setosa
4.9, 2.975296878855512, 2.565350767612772, 0.1, Iris-setosa
4.9, 3.1, 2.4227307509218186, 0.1, Iris-setosa
4.4, 3.0, 2.2848386799415668, 0.2, Iris-setosa
5.1, 3.8, 1.6, 0.2, Iris-setosa
5.417992252278605, 2.8, 4.5, 1.3, Iris-versicolor
5.2, 2.7, 3.9, 1.4, Iris-versicolor
5.0, 2.0, 3.5, 1.0, Iris-versicolor
5.9, 3.0, 4.2, 0.15381567572565183, Iris-versicolor
5.5, 2.0048491360630956, 3.8, 1.1, Iris-versicolor
5.6, 3.0, 4.1, 1.3, Iris-versicolor
5.5, 2.5, 4.0, 1.3, Iris-versicolor
